Tickers,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
ADSK,"Autodesk, Inc.",Technology ,S&P 500,43910000000.0,557800000.0,4740000000.0,3.41,7.19,,,12600.0,Yes,Yes,2.1,81.63,26.6,3.5,9.26,60.73,28.79,26.75,0.6,0.6,3.55,3.08,6.42,2.54,7.78,1.7,-58.8,17.46,,23.4,16.6,16.7,64.2,Aug 24 Ae6C,1.86,0.2,-7.7,93.1,-0.39,6.6,62.9,15.8,90.4,16.7,11.8,0.0,0.38,217000000.0,215070000.0,1.32,2.02,252.0,163.20 - 335.48,-38.27,26.89,59.41,0.74,1410000.0,1041586.0,4.22,12.21,7.26,8.34,-32.89,-26.35,1.48,7.68,3.88 3.58,201.39,207.09,2.83
AEE,Ameren Corporation,Utilities ,S&P 500,19870000000.0,1010000000.0,6960000000.0,38.26,0.03,2.36,3.03,9116.0,Yes,Yes,2.1,19.98,17.83,3.19,2.85,2.04,2838.58,13.73,0.5,0.7,1.48,1.31,-2.58,3.9,4.37,1.73,9.7,7.24,,7.5,1.0,17.3,-0.8,Nov 03 Ae6C,-11.9,0.3,-12.09,81.5,0.06,2.8,10.3,5.0,80.4,19.7,14.5,43.2,-13.11,258200000.0,257310000.0,1.67,3.31,94.0,73.28 - 99.20,-21.5,6.26,39.39,1.51,1300000.0,1958251.0,0.21,-12.58,-12.9,-18.82,-8.69,-12.52,0.42,2.28,2.16 2.85,77.58,77.87,0.37
AEP,"American Electric Power Company, Inc.",Utilities ,S&P 500,43300000000.0,2570000000.0,17920000000.0,46.96,1.52,3.12,3.63,16688.0,Yes,Yes,2.2,16.93,16.27,2.75,2.42,1.83,56.44,10.56,0.7,0.8,1.56,1.37,-1.04,5.08,5.29,1.57,14.6,5.74,,31.8,0.5,21.3,-11.5,Oct 27 e9e6O,-10.58,0.1,-4.73,75.6,0.07,2.9,11.1,5.6,67.4,21.1,14.4,60.5,-10.18,513620000.0,513570000.0,1.35,2.45,100.69,80.22 - 105.60,-18.56,7.21,42.64,0.76,2830000.0,2141423.0,1.12,-12.01,-10.81,-14.43,0.49,-3.34,0.41,2.6,2.39 3.12,85.63,86.0,0.43
AFRM,"Affirm Holdings, Inc.",Technology ,,5140000000.0,-707400000.0,1150000000.0,9.09,4.41,,,2552.0,Yes,Yes,2.7,,,,4.46,1.99,4.1,,,,1.53,1.53,-6.06,-2.53,-2.29,-0.81,9.8,21.6,-,,,40.9,-40.0,Nov 08 Ae6C,-24.14,2.2,32.99,83.5,0.76,-10.7,-28.2,-12.8,,-75.1,-61.4,,-45.57,288110000.0,217510000.0,17.77,3.18,30.79,13.64 - 176.65,-89.78,32.33,41.13,1.02,12150000.0,12430455.0,-2.06,-6.38,-21.86,-44.41,-88.37,-82.05,,1.73,8.35 8.44,18.3,18.05,-1.37
AGYS,"Agilysys, Inc.",Technology ,,1370000000.0,5700000.0,171400000.0,4.12,3.82,,,1400.0,Yes,Yes,2.7,245.45,54.6,4908.93,7.97,13.34,14.4,69.73,2.0,2.1,0.0,0.0,2.83,0.22,1.01,0.18,118.1,16.69,,18.7,5.0,22.7,69.2,Oct 25 Ae6C,6.25,4.4,-0.14,,-0.31,2.8,6.0,6.5,61.3,4.3,3.3,0.0,24.83,24600000.0,23890000.0,1.58,3.13,58.5,31.49 - 57.45,-4.3,74.6,59.88,2.02,120330.0,243592.0,3.17,15.99,6.67,47.88,6.34,23.66,0.98,2.23,3.16 4.45,53.38,54.98,3.0
AI,"C3.ai, Inc.",Technology ,,1330000000.0,-226500000.0,265700000.0,9.16,8.43,,,704.0,Yes,Yes,3.2,,,,4.99,1.34,1.46,,7.7,7.7,0.0,0.0,-1.99,-2.15,-0.4,-0.16,-241.6,49.4,-,,,24.6,-83.4,Aug 31 Ae6C,-19.23,3.1,-3.03,46.9,0.47,-19.4,-22.5,-19.9,74.0,-87.6,-85.3,,-36.44,106840000.0,90860000.0,13.82,6.68,15.38,11.29 - 53.82,-77.11,9.12,40.07,0.63,1880000.0,1184571.0,0.16,-6.31,-29.52,-34.08,-72.99,-60.58,,0.66,4.84 5.21,12.56,12.32,-1.91
AIR,AAR Corp.,Industrials ,,1470000000.0,88800000.0,1810000000.0,29.7,1.29,,,4500.0,Yes,Yes,2.0,17.38,12.18,1.27,0.81,1.45,33.28,25.73,1.3,2.9,0.11,0.11,12.46,2.48,3.54,0.67,66.4,19.71,,7.6,2.7,-1.9,99.9,Sep 22 Ae6C,4.63,3.2,-3.65,,-0.03,5.7,8.7,6.9,18.2,6.7,4.9,0.0,-1.76,34900000.0,33370000.0,4.85,6.01,50.0,31.89 - 52.83,-18.47,35.06,67.66,0.96,269500.0,259199.0,8.82,21.98,1.87,-11.52,23.2,10.35,1.54,1.39,2.82 3.18,42.71,43.07,0.84
AIZ,"Assurant, Inc.",Financial ,S&P 500,7930000000.0,481500000.0,10200000000.0,81.67,22.46,2.72,1.81,15600.0,Yes,Yes,1.8,17.91,10.62,1.03,0.78,1.84,6.71,,,,0.48,0.48,0.95,8.41,14.18,1.9,27.7,19.05,,2.1,6.2,-1.4,-68.9,Nov 01 Ae6C,-3.55,0.5,0.0,97.6,-7.18,3.6,23.3,9.5,,6.9,11.8,13.0,-10.38,54610000.0,52700000.0,2.43,3.22,195.5,143.76 - 194.12,-22.41,4.76,49.08,0.76,398750.0,304321.0,-0.6,1.83,-12.41,-19.53,-9.05,-3.37,0.57,4.1,2.23 2.45,146.91,150.61,2.52
AJG,Arthur J. Gallagher & Co.,Financial ,S&P 500,37350000000.0,1060000000.0,8590000000.0,41.91,2.51,2.04,1.14,39000.0,Yes,Yes,2.1,36.12,20.64,3.54,4.35,4.27,71.33,30.63,1.1,1.1,0.73,0.63,2.4,4.96,8.68,1.67,4.2,12.12,,14.5,7.6,5.7,43.5,Oct 27 Ae6C,-0.91,0.5,-6.06,87.0,1.38,2.9,12.2,8.0,40.8,17.2,12.3,38.5,6.37,210200000.0,208410000.0,1.17,2.56,198.69,147.32 - 191.99,-6.69,21.6,53.34,0.81,950770.0,769660.0,2.32,4.26,5.39,0.15,8.46,5.59,0.67,4.84,2.59 2.44,175.37,179.15,2.16
AKAM,"Akamai Technologies, Inc.",Technology ,S&P 500,13460000000.0,578200000.0,3570000000.0,26.75,4.43,,,8700.0,Yes,Yes,2.5,24.57,15.14,2.05,3.77,3.23,19.48,12.45,1.9,1.9,0.55,0.53,5.08,3.52,5.71,1.22,16.6,8.54,,16.6,8.1,5.9,-21.5,Nov 08 Ae6C,-1.27,0.1,-14.67,96.2,-0.13,7.1,13.1,11.1,63.0,21.0,16.2,0.0,-14.17,160040000.0,156250000.0,7.61,8.08,107.64,76.28 - 123.25,-29.91,13.25,55.84,0.65,1470000.0,953370.0,4.66,6.51,-6.25,-27.26,-19.96,-26.19,0.69,2.48,2.51 2.79,85.88,86.39,0.59
ALGN,"Align Technology, Inc.",Healthcare ,S&P 500,15770000000.0,619000000.0,3990000000.0,45.91,12.06,,,22540.0,Yes,Yes,2.2,27.08,21.08,0.63,3.95,4.6,17.52,40.57,1.1,1.3,0.0,0.0,-0.35,7.8,10.03,2.18,-56.8,17.59,,33.0,29.6,-4.1,-42.7,Oct 26 Ae6C,-11.0,0.3,3.22,91.4,0.87,10.6,17.2,21.5,72.6,21.8,15.5,0.0,-36.93,78390000.0,73160000.0,3.53,2.99,302.7,192.63 - 713.33,-70.37,9.74,45.36,0.98,863860.0,850609.0,-0.02,-4.96,-16.07,-42.69,-64.21,-67.83,1.76,11.52,5.35 5.25,207.67,211.39,1.79
ALLT,Allot Ltd.,Technology ,,140080000.0,-19500000.0,143800000.0,3.11,2.8,,,749.0,Yes,Yes,,,,,0.97,1.18,1.31,,2.6,2.8,0.35,0.35,-4.38,-0.53,-0.55,-0.31,-56.2,-5.6,-,-11.6,10.0,-7.1,-52.9,Aug 16 e9e6O,-12.83,16.3,0.0,74.6,1.58,-8.9,-15.9,-12.2,69.3,-12.5,-13.5,,-41.31,36830000.0,35000000.0,0.46,1.9,9.12,3.47 - 15.87,-76.87,5.87,41.97,0.61,83640.0,50653.0,-0.81,-7.56,-27.9,-41.93,-75.07,-69.11,1.0,0.25,7.18 6.26,3.72,3.67,-1.34
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare ,,22810000000.0,-980700000.0,884200000.0,1.46,18.12,,,1665.0,Yes,Yes,2.1,,,,25.8,134.14,10.81,,3.6,3.8,3.85,3.85,-0.24,-8.16,-4.5,-1.77,3.5,40.0,-,-8.5,78.1,1.9,-42.6,Oct 27 e9e6O,-5.4,0.1,-23.93,,2.29,-28.3,-204.2,-56.1,83.4,-80.8,,,19.2,120900000.0,119210000.0,3.81,4.05,239.05,117.58 - 236.80,-17.29,66.57,48.51,1.18,1120000.0,1322689.0,0.39,-2.46,39.89,20.84,-1.39,15.49,0.54,7.65,3.17 3.96,198.88,195.85,-1.52
ALRM,"Alarm.com Holdings, Inc.",Technology ,,3190000000.0,42600000.0,805900000.0,11.24,13.06,,,1500.0,Yes,Yes,2.1,80.99,30.93,10.0,3.95,5.76,4.95,79.48,5.5,6.3,0.87,0.87,1.85,0.8,2.09,0.5,-34.1,10.05,,36.6,23.5,12.7,-30.5,Aug 09 Ae6C,-3.47,2.0,-5.08,93.3,0.01,3.5,7.3,6.4,57.8,6.2,5.3,0.0,-2.6,49930000.0,47130000.0,4.97,11.33,87.0,54.99 - 90.69,-28.65,17.68,51.52,0.55,206560.0,114531.0,3.45,1.78,-3.32,4.54,-20.18,-23.7,1.13,2.01,2.87 2.94,64.45,64.71,0.4
ALTR,Altair Engineering Inc.,Technology ,,3640000000.0,-31800000.0,554500000.0,7.07,5.3,,,2800.0,Yes,Yes,2.1,,54.38,,6.57,6.57,8.76,191.82,3.0,3.0,0.55,0.55,1.3,-0.42,0.85,0.01,19.5,19.44,-,-21.8,11.2,10.7,-135.9,Nov 03 Ae6C,-5.54,1.0,-1.36,99.7,-0.07,-2.9,-5.3,0.5,77.4,2.9,-5.7,,-16.57,78950000.0,51290000.0,4.94,8.63,60.86,43.17 - 82.96,-44.02,7.57,48.95,0.54,293340.0,157979.0,2.4,1.6,-13.23,-17.44,-38.81,-39.94,1.5,1.57,3.18 3.33,45.76,46.44,1.49
AMAT,"Applied Materials, Inc.",Technology ,S&P 500,69740000000.0,6650000000.0,25160000000.0,13.97,4.32,1.04,1.22,27000.0,Yes,Yes,2.1,11.37,12.42,0.92,2.77,6.08,19.66,17.2,1.5,2.3,0.45,0.45,4.3,7.47,6.84,1.78,63.4,-8.38,,33.0,16.3,5.2,-1.1,Aug 18 Ae6C,-5.92,0.36,-0.75,79.5,0.14,25.8,55.6,33.9,47.0,31.0,26.4,9.6,-23.63,864000000.0,857180000.0,1.29,1.43,109.46,71.12 - 167.06,-49.16,19.43,52.89,1.55,7730000.0,11997741.0,14.15,0.77,-14.12,-25.8,-37.51,-46.02,1.5,3.96,4.99 4.85,82.42,84.94,3.06
AMD,"Advanced Micro Devices, Inc.",Technology ,S&P 500,93070000000.0,3130000000.0,21580000000.0,34.1,3.78,,,15500.0,Yes,Yes,2.0,24.68,15.05,0.97,4.31,1.72,15.53,27.95,2.0,2.4,0.05,0.04,-4.97,2.38,3.9,0.69,24.7,8.06,,44.6,30.9,70.1,-52.5,Nov 01 Ae6C,-22.85,0.5,-2.72,68.5,0.17,7.9,10.0,40.1,48.0,16.8,14.5,0.0,-38.63,1620000000.0,1610000000.0,2.0,0.39,98.93,54.57 - 164.46,-64.31,7.57,34.67,0.91,83280000.0,76121874.0,1.28,-13.63,-31.14,-35.27,-51.01,-59.21,2.04,3.33,5.27 5.26,58.82,58.7,-0.2
AMGN,Amgen Inc.,Healthcare ,DJIA S&P500,137300000000.0,6580000000.0,26380000000.0,4.52,13.67,7.76,2.97,24200.0,Yes,Yes,2.6,22.14,14.01,2.89,5.2,57.81,19.11,32.32,1.2,1.5,15.1,14.76,9.46,11.8,18.66,4.45,-16.5,6.72,,0.1,2.5,1.0,204.4,Nov 03 Ae6C,9.1,0.2,-1.91,79.7,-0.44,10.8,144.1,17.1,75.8,35.5,24.9,62.5,9.09,535000000.0,533660000.0,3.21,6.58,254.85,198.64 - 258.45,1.11,31.55,71.36,1.11,2600000.0,2881220.0,3.32,15.13,4.05,3.63,24.89,16.16,0.58,5.53,1.94 2.08,251.94,261.32,3.72
AMPL,"Amplitude, Inc.",Technology ,,1680000000.0,-105200000.0,206100000.0,2.68,2.76,,,612.0,Yes,Yes,2.1,,,,8.17,5.6,5.43,,3.1,3.1,0.0,0.0,-3.8,-0.95,-0.34,-0.08,-184.6,0.0,,,,47.8,-124.8,Nov 02 Ae6C,-6.05,3.2,-4.14,69.2,0.09,-25.5,-34.6,-24.5,69.7,-50.9,-51.1,,-26.5,111040000.0,62730000.0,7.69,9.75,21.0,13.42 - 87.98,-82.95,11.77,45.49,0.63,494600.0,311319.0,-3.04,-0.07,7.45,-19.7,-77.75,-71.67,,1.0,5.09 6.34,15.26,15.0,-1.7
AMPS,"Altus Power, Inc.",Utilities ,,1430000000.0,99600000.0,85700000.0,2.61,1.89,,,44.0,Yes,Yes,2.2,14.19,56.32,,16.74,3.52,4.86,,11.5,11.5,1.35,1.31,-16.57,0.65,0.16,0.03,153.9,-73.19,-,,,-17.6,344.2,Nov 14 e9e6O,-17.44,59.58,-8.07,35.5,-10.24,9.6,40.8,3.6,81.1,31.6,,0.0,12.07,153310000.0,63740000.0,5.91,4.0,13.0,4.26 - 14.72,-37.61,115.49,37.95,0.92,942360.0,868741.0,-12.99,-22.4,44.11,48.3,-8.2,-12.15,,0.92,8.03 8.47,9.08,9.18,1.1
AMSWA,"American Software, Inc.",Technology ,,522310000.0,12000000.0,129600000.0,3.96,3.5,0.44,2.77,406.0,Yes,Yes,1.5,45.3,31.55,2.83,4.03,4.02,4.55,68.73,2.7,2.7,0.0,0.0,2.33,0.35,0.5,0.08,52.7,43.18,,-4.0,3.7,6.8,-23.8,Aug 24 Ae6C,-2.89,1.1,-7.82,76.4,-0.03,6.4,9.1,9.1,59.9,10.7,9.2,123.2,-13.74,33660000.0,31430000.0,1.55,3.91,29.33,14.52 - 33.26,-52.2,9.5,51.85,0.63,124470.0,78132.0,0.57,7.87,-6.03,-13.45,-42.14,-39.24,0.86,0.54,4.07 3.09,15.86,15.9,0.25
