Tickers,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
ACLS,"Axcelis Technologies, Inc.",Technology ,,2060000000.0,149100000.0,807200000.0,17.73,8.79,,,1122.0,Yes,Yes,1.8,14.31,12.54,0.72,2.55,3.55,7.16,16.61,3.1,4.4,0.08,0.08,-9.37,4.4,5.02,1.13,96.6,6.47,,51.9,19.9,50.2,138.9,Aug 03 Ae6C,-4.16,2.6,-8.26,87.3,2.43,19.5,27.1,18.0,44.0,23.1,18.5,0.0,-1.93,33100000.0,32390000.0,3.35,2.27,91.17,45.14 - 83.74,-24.86,39.39,42.93,0.68,478250.0,324627.0,1.22,-18.15,16.05,6.34,28.02,-15.61,1.68,4.12,3.46 5.66,66.32,62.92,-5.13
ACN,Accenture plc,Technology ,S&P 500,175230000000.0,6630000000.0,59590000000.0,33.8,10.78,3.88,1.38,624000.0,Yes,Yes,,27.31,23.47,2.23,2.94,8.33,26.12,34.97,1.3,1.3,0.0,0.0,-6.44,10.31,11.99,2.57,16.0,12.2,,7.3,7.7,21.8,16.1,Sep 22 e9e6O,-4.66,0.1,-3.88,77.5,-0.06,15.0,32.4,29.9,32.3,15.0,11.1,36.2,-12.39,632750000.0,599590000.0,0.74,2.18,350.86,261.77 - 417.37,-32.55,7.54,36.01,0.87,2030000.0,1773205.0,-0.68,-12.15,1.82,-8.5,-17.06,-32.09,1.21,6.74,2.23 2.02,295.26,281.52,-4.65
ADBE,Adobe Inc.,Technology ,S&P 500,171720000000.0,4890000000.0,16690000000.0,29.63,11.37,,,25988.0,Yes,Yes,1.9,35.98,23.28,2.53,10.29,12.43,32.41,25.04,1.1,1.1,0.3,0.26,-7.88,10.24,15.83,3.33,-7.6,17.04,,34.0,21.9,14.4,7.3,Sep 15 Ae6C,-8.05,0.1,-3.39,84.2,-0.91,18.5,34.3,26.0,87.9,36.2,29.3,0.0,-19.09,472000000.0,463030000.0,1.07,1.88,459.46,338.00 - 699.54,-47.34,8.99,36.81,1.56,2650000.0,4145709.0,0.02,-17.34,-0.88,-10.48,-42.9,-35.04,1.14,12.69,2.97 2.68,396.36,368.39,-7.06
ADI,"Analog Devices, Inc.",Technology ,S&P 500,75530000000.0,1890000000.0,11110000000.0,70.87,2.99,3.04,2.05,24700.0,Yes,Yes,1.9,41.06,15.49,2.47,6.8,2.09,49.53,34.09,1.4,1.9,0.17,0.17,-7.47,3.61,9.57,2.59,5.6,1.42,,4.7,16.4,76.8,6.3,Aug 17 e9e6O,-8.27,0.92,-14.21,88.4,-0.82,3.7,5.1,3.4,58.6,18.6,17.0,79.7,-8.8,517010000.0,509610000.0,1.69,2.61,195.18,138.50 - 191.95,-22.77,7.04,35.13,1.26,3310000.0,4184804.0,0.01,-17.3,0.32,1.8,-14.21,-15.66,1.16,4.54,2.25 2.53,155.65,148.25,-4.75
ADM,Archer-Daniels-Midland Company,Consumer Defensive ,S&P 500,50190000000.0,3600000000.0,94360000000.0,43.1,1.56,1.6,1.85,41000.0,Yes,Yes,2.2,13.63,14.02,1.48,0.53,2.0,55.4,62.66,0.9,1.5,0.47,0.33,-1.98,6.34,6.16,1.38,52.5,-9.66,,17.2,6.5,19.0,73.2,Jul 26 e9e6O,5.5,0.3,-20.57,80.8,-1.01,6.1,15.5,6.6,7.4,3.9,3.8,24.2,7.78,566000000.0,557810000.0,1.28,2.37,96.0,58.60 - 98.88,-12.67,47.37,49.47,0.92,3020000.0,2766212.0,0.76,-0.29,5.29,4.58,41.21,27.76,0.78,2.38,3.71 2.59,88.21,86.35,-2.11
ADP,"Automatic Data Processing, Inc.",Industrials ,S&P 500,97810000000.0,2950000000.0,16500000000.0,7.76,3.56,4.16,1.77,60000.0,Yes,Yes,3.0,33.57,26.31,2.31,5.93,30.29,65.94,77.25,1.0,1.0,0.93,0.93,-6.19,7.0,8.94,1.8,15.4,11.42,,12.0,5.9,10.5,18.2,Jul 27 e9e6O,-0.93,0.1,-34.35,81.1,-0.46,4.6,66.2,47.1,42.8,22.9,17.9,56.0,4.82,415800000.0,415050000.0,1.11,2.96,246.41,192.26 - 261.59,-10.14,22.26,37.6,1.67,1550000.0,2588092.0,-1.29,-8.46,14.8,13.56,17.53,-4.67,0.82,4.84,2.12 1.74,243.95,235.06,-3.64
ADPT,Adaptive Biotechnologies Corporation,Healthcare ,,1160000000.0,-232100000.0,159700000.0,3.64,2.72,,,858.0,Yes,Yes,2.2,,,,7.26,2.26,3.02,,3.8,3.9,0.0,0.0,-18.23,-1.64,-1.52,-0.37,-32.5,2.6,,,,13.5,-4.1,Aug 03 Ae6C,-17.79,0.5,-0.77,92.3,6.72,-25.9,-39.9,-34.6,65.6,,,,-39.74,142360000.0,140520000.0,4.9,4.53,13.17,5.95 - 39.79,-79.34,38.04,36.67,0.97,1520000.0,1479302.0,-1.91,-33.28,28.44,-18.77,-78.08,-70.71,,0.75,5.97 6.95,9.03,8.22,-8.97
ADSK,"Autodesk, Inc.",Technology ,S&P 500,44250000000.0,557800000.0,4740000000.0,3.41,7.18,,,12600.0,Yes,Yes,1.9,82.12,26.71,3.52,9.33,61.1,29.01,26.96,0.6,0.6,3.55,3.08,-2.45,2.54,7.8,1.7,-58.8,17.66,,23.4,16.6,16.7,64.2,Aug 24 Ae6C,1.88,0.2,-8.6,93.4,-0.2,6.6,62.9,15.8,90.4,16.7,11.8,0.0,-4.12,217000000.0,215110000.0,1.11,1.59,256.8,163.20 - 335.48,-37.9,27.66,48.54,2.03,1490000.0,3029410.0,5.13,-10.59,20.36,10.41,-25.93,-25.91,1.53,7.0,3.08 3.05,215.16,208.34,-3.17
AEE,Ameren Corporation,Utilities ,S&P 500,23970000000.0,1010000000.0,6960000000.0,38.26,0.03,2.36,2.54,9116.0,Yes,Yes,2.2,23.89,21.32,3.23,3.44,2.43,3424.15,16.56,0.5,0.7,1.48,1.31,-2.16,3.9,4.37,1.73,9.7,7.01,,7.5,1.0,17.3,-0.8,Aug 04 Ae6C,1.21,0.4,-7.64,81.5,0.56,2.8,10.3,5.0,80.4,19.7,14.5,43.2,3.33,258200000.0,257320000.0,1.7,3.33,99.77,80.27 - 99.20,-6.17,15.96,46.92,0.88,1310000.0,1149177.0,0.93,-1.85,8.76,6.52,8.12,4.57,0.37,1.72,1.98 1.65,95.93,93.08,-2.97
AEP,"American Electric Power Company, Inc.",Utilities ,S&P 500,52270000000.0,2570000000.0,17920000000.0,46.96,1.5,3.12,3.05,16688.0,Yes,Yes,2.2,20.13,19.34,3.17,2.92,2.18,68.12,12.75,0.7,0.8,1.56,1.37,-1.0,5.08,5.28,1.54,14.6,5.91,,31.8,0.5,21.3,-11.8,Jul 27 e9e6O,2.86,0.1,-8.75,75.6,0.87,2.9,11.1,5.6,67.4,21.1,14.4,60.5,7.63,513600000.0,513590000.0,1.55,3.04,107.88,80.22 - 105.60,-3.22,27.4,50.44,1.18,2620000.0,3081192.0,0.63,-1.52,9.88,7.87,15.72,14.87,0.35,1.98,2.06 1.82,105.18,102.2,-2.83
AFRM,"Affirm Holdings, Inc.",Technology ,,6850000000.0,-707400000.0,1150000000.0,9.09,4.43,,,2552.0,Yes,Yes,2.7,,,,5.94,2.66,5.46,,,,1.53,1.53,-14.51,-2.53,-2.28,-0.81,9.8,21.6,-,,,40.9,-40.0,Aug 25 Ae6C,-12.16,2.2,199.03,82.7,4.73,-10.7,-28.2,-12.8,,-75.1,-61.4,,-47.46,288110000.0,215810000.0,16.29,2.46,33.05,13.64 - 176.65,-86.31,77.34,42.49,0.76,14270000.0,10832666.0,8.48,-38.28,34.99,-7.74,-77.87,-75.94,,2.52,6.90 7.93,26.79,24.19,-9.71
AGYS,"Agilysys, Inc.",Technology ,,1190000000.0,5700000.0,171400000.0,4.12,3.76,,,1400.0,Yes,Yes,2.7,211.21,47.45,4224.11,6.96,11.48,12.57,60.88,2.0,2.1,0.0,0.0,-7.5,0.22,1.0,0.18,118.1,15.53,,18.7,5.0,22.7,69.2,Jul 26 Ae6C,-6.3,4.5,-0.54,,0.31,2.8,6.0,6.5,61.3,4.3,3.3,0.0,10.3,24600000.0,23890000.0,1.47,3.31,55.5,31.49 - 55.75,-15.14,50.24,39.21,0.66,105930.0,70325.0,-0.96,-12.03,25.16,24.66,-6.83,6.41,1.08,1.79,2.42 3.45,49.37,47.31,-4.17
AI,"C3.ai, Inc.",Technology ,,1560000000.0,-226500000.0,265700000.0,9.16,8.58,,,704.0,Yes,Yes,3.2,,,,5.85,1.61,1.71,,7.7,7.7,0.0,0.0,-18.92,-2.15,-0.4,-0.16,-241.6,49.4,-,,,24.6,-83.4,Aug 31 Ae6C,-23.34,2.5,-0.62,46.7,5.28,-19.4,-22.5,-19.9,74.0,-87.6,-85.3,,-33.96,106840000.0,90860000.0,13.98,5.59,15.62,13.37 - 53.82,-72.67,10.02,31.66,0.92,2270000.0,2101304.0,2.94,-35.51,-7.43,-13.01,-70.01,-52.93,,1.05,3.78 4.97,15.41,14.71,-4.54
AIR,AAR Corp.,Industrials ,,1440000000.0,77900000.0,1820000000.0,28.34,1.53,,,4500.0,Yes,Yes,2.0,19.04,11.77,1.39,0.79,1.46,26.95,24.9,1.3,2.9,0.1,0.1,-7.6,2.17,3.5,0.59,66.4,17.74,,7.6,2.7,8.8,59.0,Sep 22 Ae6C,-6.06,3.3,-23.79,,0.93,5.0,7.7,6.9,17.2,5.8,4.3,0.0,-5.18,36500000.0,33670000.0,6.18,8.07,52.67,30.90 - 52.83,-21.88,33.56,37.06,0.75,258100.0,192434.0,-2.43,-12.38,-6.12,-6.92,24.49,5.74,1.51,1.29,2.74 2.51,43.61,41.27,-5.37
AIZ,"Assurant, Inc.",Financial ,S&P 500,8440000000.0,481500000.0,10200000000.0,81.67,22.18,2.72,1.72,15600.0,Yes,Yes,1.8,18.84,11.17,1.1,0.83,1.94,7.14,,,,0.48,0.48,-3.43,8.41,14.19,3.16,27.7,13.06,,2.1,6.2,-1.4,-68.9,Aug 02 Ae6C,-4.95,0.6,-1.9,,-0.62,3.6,23.3,9.5,,6.9,11.8,13.0,-6.0,54610000.0,52700000.0,2.48,3.01,198.0,144.18 - 194.12,-18.35,9.93,40.37,0.8,434820.0,347626.0,-0.11,-4.68,-8.22,-7.12,-5.42,1.69,0.55,3.39,2.12 1.91,163.49,158.49,-3.06
AJG,Arthur J. Gallagher & Co.,Financial ,S&P 500,39040000000.0,1060000000.0,8590000000.0,41.91,2.48,2.04,1.1,39000.0,Yes,Yes,2.1,37.26,21.29,3.73,4.54,4.41,74.55,32.01,1.1,1.1,0.73,0.63,-1.12,4.96,8.68,1.71,4.2,11.3,,14.5,7.6,5.7,43.5,Sep 20 e9e6O,3.88,0.5,-7.01,85.7,0.4,2.9,12.2,8.0,40.8,17.2,12.3,38.5,10.65,210200000.0,208410000.0,1.38,3.47,198.15,142.53 - 191.99,-3.74,29.66,52.51,2.17,826330.0,1794175.0,2.16,-2.42,21.92,19.43,27.96,8.92,0.67,3.08,1.58 1.54,187.63,184.81,-1.5
AKAM,"Akamai Technologies, Inc.",Technology ,S&P 500,14030000000.0,578200000.0,3570000000.0,26.75,4.41,,,8700.0,Yes,Yes,2.3,25.5,15.66,2.39,3.93,3.35,20.32,12.99,1.9,1.9,0.55,0.53,-3.54,3.52,5.72,1.22,16.6,8.92,,16.6,8.1,5.9,-21.5,Aug 09 Ae6C,-3.5,0.1,-25.78,96.3,-1.96,7.1,13.1,11.1,63.0,21.0,16.2,0.0,-14.74,160040000.0,156260000.0,6.59,6.64,110.47,85.90 - 123.25,-27.25,4.38,41.82,0.84,1550000.0,1299148.0,1.14,-6.56,-1.54,-17.04,-19.78,-23.39,0.66,2.23,1.86 2.19,93.11,89.66,-3.71
ALGN,"Align Technology, Inc.",Healthcare ,S&P 500,18960000000.0,619000000.0,3990000000.0,45.91,11.72,,,22540.0,Yes,Yes,2.1,31.65,23.7,0.73,4.75,5.38,21.08,48.79,1.1,1.3,0.0,0.0,-5.08,7.8,10.42,2.23,-56.8,20.89,,33.0,29.6,-4.1,-42.7,Jul 27 Ae6C,-6.93,0.3,3.48,90.9,1.89,10.6,17.2,21.5,72.6,21.8,15.5,0.0,-37.5,78390000.0,73170000.0,2.98,2.43,342.45,225.86 - 737.45,-66.5,9.39,43.35,0.78,898180.0,704771.0,3.38,-14.51,1.25,-34.66,-65.24,-62.41,1.8,12.3,4.00 4.31,267.79,247.06,-7.74
ALLT,Allot Ltd.,Technology ,,161200000.0,-19500000.0,143800000.0,3.11,2.81,,,749.0,Yes,Yes,,,,,1.12,1.37,1.51,,2.6,2.8,0.35,0.35,-7.11,-0.53,-0.55,-0.31,-56.2,31.4,-,-11.6,10.0,-7.1,-52.9,Aug 16 e9e6O,-14.23,16.3,0.0,73.4,-10.82,-8.9,-15.9,-12.2,69.3,-12.5,-13.5,,-42.39,36830000.0,35000000.0,0.45,1.7,9.12,4.26 - 16.26,-73.86,-0.23,36.77,0.88,92470.0,81437.0,-2.52,-23.7,-17.48,-44.95,-72.44,-64.23,0.98,0.26,4.26 5.57,4.39,4.25,-3.19
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare ,,26120000000.0,-980700000.0,884200000.0,1.46,16.7,,,1665.0,Yes,Yes,2.2,,,,29.54,141.5,12.37,,3.6,3.8,3.85,3.85,-4.28,-8.16,-4.49,-1.75,3.5,49.9,,-8.5,78.1,1.9,-42.6,Jul 28 e9e6O,10.92,0.1,-30.75,99.1,0.21,-28.3,-204.2,-56.1,83.4,-80.8,,,28.03,120900000.0,119210000.0,3.53,4.02,237.52,117.58 - 236.80,-12.76,75.7,49.96,2.19,1040000.0,2288346.0,2.65,-11.66,61.78,36.09,11.2,21.82,0.55,9.93,5.00 3.68,212.0,206.59,-2.55
ALRM,"Alarm.com Holdings, Inc.",Technology ,,3370000000.0,42600000.0,805900000.0,11.24,13.01,,,1500.0,Yes,Yes,2.1,85.29,32.16,10.53,4.18,6.06,5.24,84.07,5.5,6.3,0.87,0.87,-3.07,0.8,2.12,0.5,-34.1,11.47,,36.6,23.5,12.7,-30.5,Aug 09 Ae6C,-1.79,2.0,-6.43,93.6,0.1,3.5,7.3,6.4,57.8,6.2,5.3,0.0,-0.99,49930000.0,47130000.0,4.41,10.65,87.71,54.99 - 90.69,-24.85,23.93,44.66,1.0,195320.0,195273.0,-0.47,-11.25,14.54,8.62,-15.34,-19.64,1.2,2.09,2.57 2.55,71.17,68.15,-4.24
ALTR,Altair Engineering Inc.,Technology ,,3940000000.0,-31800000.0,554500000.0,7.07,5.26,,,2800.0,Yes,Yes,2.2,,56.8,,7.1,7.04,9.46,207.24,3.0,3.0,0.55,0.55,-6.14,-0.42,0.88,0.01,19.5,20.0,-,-21.8,11.2,10.7,-135.9,Aug 04 Ae6C,-7.95,1.0,-2.4,98.59,1.67,-2.9,-5.3,0.5,77.4,2.9,-5.7,,-16.49,78950000.0,51290000.0,5.47,9.72,64.71,48.19 - 82.96,-40.02,3.25,39.07,1.25,288900.0,361947.0,1.16,-11.79,-0.4,-16.24,-33.89,-35.64,1.5,1.85,2.76 3.11,52.2,49.76,-4.67
AMAT,"Applied Materials, Inc.",Technology ,S&P 500,77930000000.0,6650000000.0,25160000000.0,13.97,4.12,1.04,1.15,27000.0,Yes,Yes,2.0,12.1,11.26,0.98,3.1,6.47,21.97,19.22,1.5,2.3,0.45,0.45,-8.8,7.47,8.03,2.01,63.4,4.3,,33.0,16.3,5.2,-1.1,Aug 18 Ae6C,-8.86,0.1,-2.9,79.4,-2.67,25.8,55.6,33.9,47.0,31.0,26.4,9.6,-25.42,864000000.0,857280000.0,1.22,1.43,133.71,82.67 - 167.06,-45.89,9.34,37.84,1.15,7310000.0,8386333.0,0.11,-18.11,-6.16,-24.76,-35.18,-42.56,1.52,3.92,3.10 3.27,96.3,90.39,-6.14
AMD,"Advanced Micro Devices, Inc.",Technology ,S&P 500,125540000000.0,3130000000.0,21580000000.0,34.1,3.68,,,15500.0,Yes,Yes,2.1,32.39,15.74,1.21,5.82,2.26,20.95,37.7,2.0,2.4,0.05,0.04,-14.24,2.38,4.89,1.05,24.7,11.97,,44.6,30.9,70.1,-52.5,Aug 02 Ae6C,-13.42,0.5,-3.19,68.4,-0.35,7.9,10.0,40.1,48.0,16.8,14.5,0.0,-28.15,1620000000.0,1610000000.0,1.92,0.37,124.05,71.60 - 164.46,-53.16,7.58,34.43,0.97,82690000.0,80371876.0,-2.15,-23.6,-11.45,-24.67,-26.5,-46.47,1.96,4.08,3.82 3.94,84.64,77.03,-8.99
AMGN,Amgen Inc.,Healthcare ,DJIA S&P500,126500000000.0,6580000000.0,26380000000.0,4.52,12.88,7.76,3.42,24200.0,Yes,Yes,2.6,19.22,12.11,2.39,4.79,50.19,17.61,29.78,1.2,1.5,15.1,14.76,-7.44,11.8,18.74,4.44,-16.5,7.49,,0.1,2.5,1.0,204.4,Aug 04 Ae6C,-7.96,0.2,-1.93,80.1,-1.07,10.8,144.1,17.1,75.8,35.5,24.9,62.5,-4.15,535000000.0,533670000.0,3.09,5.61,253.12,198.64 - 258.45,-12.22,14.21,29.47,1.51,2950000.0,4436326.0,-6.34,-8.67,-4.19,-1.03,4.68,0.84,0.56,4.93,2.34 1.71,237.62,226.86,-4.53
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare ,,1380000000.0,90900000.0,476900000.0,10.22,3.86,,,1761.0,Yes,Yes,2.7,16.27,15.08,0.65,2.89,2.83,7.5,19.54,2.7,3.6,0.15,0.15,-5.76,1.78,1.92,0.4,24.8,11.9,,43.3,11.4,21.4,107.9,,-14.39,5.5,-13.55,63.5,2.35,13.2,19.6,12.0,47.5,22.3,19.1,0.0,-6.98,48860000.0,38120000.0,5.74,5.74,40.67,17.56 - 44.46,-34.93,64.75,34.11,0.92,381240.0,348938.0,2.01,-8.51,-2.89,-16.89,56.8,24.22,0.73,1.19,3.13 3.14,29.03,28.93,-0.34
AMPL,"Amplitude, Inc.",Technology ,,1820000000.0,-105200000.0,206100000.0,2.68,2.83,,,612.0,Yes,Yes,2.1,,,,8.82,6.19,5.86,,3.1,3.1,0.0,0.0,2.45,-0.95,-0.35,-0.08,-184.6,2.4,,,,47.8,-124.8,Aug 03 Ae6C,3.08,3.2,-4.24,69.1,19.09,-25.5,-34.6,-24.5,69.7,-50.9,-51.1,,-37.07,111040000.0,62730000.0,6.49,5.67,21.12,13.42 - 87.98,-81.15,23.55,52.58,0.67,718490.0,483874.0,10.46,-10.67,9.29,7.38,,-68.68,,1.01,5.06 4.90,17.68,16.58,-6.22
AMPS,"Altus Power, Inc.",Utilities ,,1780000000.0,99600000.0,85700000.0,2.61,1.92,,,44.0,Yes,Yes,2.2,17.9,90.47,,20.74,4.44,6.02,,11.5,11.5,1.35,1.31,6.37,0.65,0.13,0.02,153.9,-78.04,-,,,-17.6,344.2,Aug 15 e9e6O,31.94,58.33,0.0,39.4,12.39,9.6,40.8,3.6,81.1,31.6,,0.0,44.57,153310000.0,66300000.0,5.35,4.7,12.9,4.26 - 12.14,-4.61,171.83,67.91,1.14,753820.0,862895.0,13.09,28.1,62.18,41.22,16.91,10.81,,0.62,5.22 6.26,11.68,11.58,-0.86
