,Ticker,Death MACD,Golden MACD
241,FATE,2022-09-13,2022-09-12
101,BMY,2022-08-24,2022-09-12
471,PAYA,2022-09-16,2022-09-12
113,CB,2022-09-13,2022-09-12
487,PKG,2022-09-14,2022-09-12
93,BKNG,2022-08-23,2022-09-12
509,PYCR,2022-08-19,2022-09-12
491,PLTR,2022-08-09,2022-09-12
92,BKI,2022-08-29,2022-09-12
493,POOL,2022-09-13,2022-09-12
516,RADA,2022-08-22,2022-09-12
534,RPRX,2022-09-14,2022-09-12
515,QTWO,2022-09-16,2022-09-12
540,S,2022-09-16,2022-09-12
498,PRNT,2022-09-15,2022-09-12
468,PANW,2022-09-13,2022-09-12
242,FDS,2022-09-13,2022-09-12
547,SE,2022-08-17,2022-09-12
524,RIOT,2022-09-16,2022-09-12
497,PRLB,2022-08-08,2022-09-09
279,GPN,2022-08-22,2022-09-09
640,VERX,2022-09-16,2022-09-09
647,VRNS,2022-08-23,2022-09-09
499,PRO,2022-08-19,2022-09-09
628,UIS,2022-08-04,2022-09-09
504,PTC,2022-09-15,2022-09-09
490,PLTK,2022-08-18,2022-09-09
622,TWTR,2022-08-22,2022-09-09
657,WCN,2022-09-16,2022-09-09
272,GM,2022-09-16,2022-09-09
437,NOW,2022-09-16,2022-09-09
660,WELL,2022-09-14,2022-09-09
485,PGR,2022-09-15,2022-09-09
259,FTCH,2022-09-02,2022-09-09
483,PFE,2022-07-18,2022-09-09
482,PERI,2022-08-19,2022-09-09
443,NTLA,2022-07-26,2022-09-09
445,NU,2022-08-31,2022-09-09
678,YEXT,2022-08-22,2022-09-09
447,NVAX,2022-08-08,2022-09-09
687,ZS,2022-08-22,2022-09-09
243,FE,2022-09-15,2022-09-09
297,HOOD,2022-08-18,2022-09-09
553,SHOP,2022-08-17,2022-09-09
619,TWLO,2022-08-17,2022-09-09
395,MNDY,2022-08-19,2022-09-09
546,SDGR,2022-08-08,2022-09-09
376,MASS,2022-09-13,2022-09-09
377,MAXN,2022-08-19,2022-09-09
562,SMAR,2022-08-22,2022-09-09
563,SMWB,2022-08-17,2022-09-09
542,SAIC,2022-08-22,2022-09-09
564,SNOW,2022-09-06,2022-09-09
574,SPT,2022-08-22,2022-09-09
384,META,2022-09-13,2022-09-09
575,SPWR,2022-09-16,2022-09-09
348,L,2022-09-14,2022-09-09
386,MGI,2022-09-15,2022-09-09
531,ROST,2022-09-14,2022-09-09
1,AAL,2022-08-19,2022-09-09
591,TARO,2022-09-13,2022-09-09
305,IAC,2022-09-16,2022-09-09
597,TDOC,2022-08-17,2022-09-09
529,ROKU,2022-08-19,2022-09-09
600,TECH,2022-09-13,2022-09-09
406,MRNA,2022-08-11,2022-09-09
601,TENB,2022-08-29,2022-09-09
604,TLS,2022-08-31,2022-09-09
606,TOST,2022-09-16,2022-09-09
518,RBLX,2022-08-16,2022-09-09
320,IONS,2022-08-19,2022-09-09
615,TTEC,2022-08-10,2022-09-09
312,ILMN,2022-09-13,2022-09-09
310,IDXX,2022-09-16,2022-09-09
369,LYFT,2022-08-19,2022-09-09
618,TWKS,2022-08-15,2022-09-09
461,OPEN,2022-09-16,2022-09-09
345,KR,2022-09-15,2022-09-09
109,CACI,2022-08-04,2022-09-09
61,ATO,2022-09-15,2022-09-09
34,AMGN,2022-09-12,2022-09-09
122,CE,2022-09-14,2022-09-09
173,CTXS,2022-09-16,2022-09-09
97,BLI,2022-08-17,2022-09-09
224,ESTC,2022-09-16,2022-09-09
95,BL,2022-09-16,2022-09-09
63,AUDC,2022-09-15,2022-09-09
99,BMBL,2022-08-09,2022-09-09
129,CGNX,2022-09-15,2022-09-09
158,CRNC,2022-08-09,2022-09-09
89,BIIB,2022-08-18,2022-09-09
27,ALGN,2022-08-17,2022-09-09
147,COIN,2022-08-18,2022-09-09
188,DG,2022-09-14,2022-09-09
5,ABNB,2022-08-19,2022-09-09
55,ASAN,2022-08-19,2022-09-09
233,EXC,2022-09-13,2022-09-09
103,BNTX,2022-08-09,2022-09-09
114,CCCS,2022-09-15,2022-09-09
191,DISH,2022-09-16,2022-09-09
106,BRKR,2022-09-14,2022-09-09
195,DNA,2022-08-19,2022-09-09
36,AMPL,2022-08-19,2022-09-09
199,DT,2022-09-16,2022-09-09
217,ENTG,2022-09-15,2022-09-09
121,CDXS,2022-08-26,2022-09-09
102,BNR,2022-09-15,2022-09-09
181,CZR,2022-08-19,2022-09-09
184,DCT,2022-08-22,2022-09-09
561,SLGC,2022-08-08,2022-09-08
613,TSP,2022-08-02,2022-09-08
24,AIZ,2022-09-14,2022-09-08
609,TSCO,2022-09-15,2022-09-08
150,COUP,2022-08-17,2022-09-08
404,MQ,2022-08-11,2022-09-08
629,ULE,2022-08-18,2022-09-08
365,LPSN,2022-08-11,2022-09-08
548,SEDG,2022-08-08,2022-09-08
577,SRE,2022-09-15,2022-09-08
46,APP,2022-08-15,2022-09-08
203,DXCM,2022-08-17,2022-09-08
359,LLY,2022-09-16,2022-09-08
314,INCY,2022-09-13,2022-09-08
411,MTCH,2022-08-17,2022-09-08
268,GILD,2022-08-25,2022-09-08
132,CHNG,2022-08-25,2022-09-08
522,REGN,2022-08-22,2022-09-08
517,RAMP,2022-08-05,2022-09-08
669,WRB,2022-08-31,2022-09-08
680,Z,2022-08-18,2022-09-08
258,FSLR,2022-09-14,2022-09-08
251,FNKO,2022-09-01,2022-09-08
683,ZG,2022-08-17,2022-09-08
436,NOVA,2022-08-17,2022-09-08
538,RUN,2022-08-19,2022-09-08
539,RXRX,2022-08-22,2022-09-08
421,NCNO,2022-08-18,2022-09-08
543,SBUX,2022-08-19,2022-09-08
620,TWOU,2022-07-14,2022-09-07
267,GH,2022-08-17,2022-09-07
198,DQ,2022-09-08,2022-09-07
232,EXAS,2022-08-09,2022-09-07
334,JNJ,2022-08-26,2022-09-07
349,LAW,2022-08-12,2022-09-07
457,OLO,2022-08-12,2022-09-07
413,MTLS,2022-08-08,2022-09-07
627,UAL,2022-08-22,2022-09-07
64,AUID,2022-08-30,2022-09-07
397,MNST,2022-09-16,2022-09-07
392,MLNK,2022-09-15,2022-09-07
209,EDR,2022-08-19,2022-09-07
333,JKS,2022-09-16,2022-09-07
163,CSGP,2022-09-15,2022-09-07
368,LULU,2022-08-22,2022-09-07
527,RNG,2022-08-18,2022-09-07
532,RPAY,2022-08-09,2022-09-06
231,EVTC,2022-08-08,2022-09-06
207,ECOM,2022-08-23,2022-09-06
520,RDWR,2022-08-17,2022-09-06
260,FTNT,2022-08-04,2022-09-06
3,ABBV,2022-08-24,2022-09-06
505,PTNR,2022-09-06,2022-09-02
479,PEGA,2022-08-23,2022-09-01
444,NTNX,2022-08-30,2022-09-01
592,TASK,2022-08-10,2022-09-01
202,DXC,2022-08-04,2022-09-01
535,RPTX,2022-08-30,2022-08-31
566,SNY,2022-08-01,2022-08-31
212,EGHT,2022-09-07,2022-08-30
206,EBIX,2022-09-06,2022-08-30
682,ZEN,2022-09-01,2022-08-30
128,CGNT,2022-08-22,2022-08-29
581,STLD,2022-08-30,2022-08-26
304,HZNP,2022-08-03,2022-08-26
50,ARBE,2022-09-06,2022-08-26
57,ATAI,2022-08-29,2022-08-25
519,RDHL,2022-08-29,2022-08-25
59,ATGE,2022-08-30,2022-08-25
440,NTAP,2022-08-26,2022-08-25
90,BILI,2022-09-06,2022-08-25
41,AN,2022-08-29,2022-08-25
431,NIU,2022-08-29,2022-08-25
458,ON,2022-08-29,2022-08-25
398,MNTV,2022-08-22,2022-08-25
44,AOSL,2022-08-26,2022-08-25
473,PAYO,2022-08-26,2022-08-25
6,ABST,2022-09-01,2022-08-24
265,GDYN,2022-08-29,2022-08-24
331,JD,2022-09-13,2022-08-24
590,TAP,2022-08-25,2022-08-24
182,DAR,2022-08-30,2022-08-24
270,GIS,2022-08-25,2022-08-24
88,BIDU,2022-09-07,2022-08-24
594,TCOM,2022-08-30,2022-08-23
639,VERV,2022-08-31,2022-08-23
478,PDD,2022-09-16,2022-08-23
551,SGFY,2022-09-08,2022-08-22
501,PSN,2022-08-22,2022-08-19
354,LDOS,2022-08-24,2022-08-18
298,HPK,2022-09-16,2022-08-18
417,MUSA,2022-08-22,2022-08-18
130,CHD,2022-08-25,2022-08-18
149,COST,2022-08-22,2022-08-18
317,INTC,2022-08-22,2022-08-16
82,BECN,2022-08-22,2022-08-16
120,CDW,2022-08-26,2022-08-16
78,BAH,2022-08-23,2022-08-16
74,AZN,2022-08-29,2022-08-15
302,HSY,2022-08-26,2022-08-15
641,VHC,2022-08-16,2022-08-15
381,MDLZ,2022-08-22,2022-08-15
370,MA,2022-08-18,2022-08-15
677,Y,2022-08-30,2022-08-15
448,NVDA,2022-08-19,2022-08-15
454,NXPI,2022-08-17,2022-08-15
116,CCSI,2022-08-17,2022-08-15
189,DIOD,2022-08-16,2022-08-15
344,KO,2022-08-25,2022-08-15
589,SYNA,2022-08-17,2022-08-15
544,SCPL,2022-08-23,2022-08-12
416,MU,2022-08-19,2022-08-12
681,ZBRA,2022-08-19,2022-08-12
246,FIS,2022-08-19,2022-08-12
115,CCEP,2022-08-22,2022-08-12
545,SCWX,2022-09-06,2022-08-12
143,CNC,2022-08-17,2022-08-12
481,PEP,2022-08-23,2022-08-12
602,TER,2022-08-19,2022-08-12
488,PLAB,2022-08-16,2022-08-12
275,GOGO,2022-08-22,2022-08-12
141,CMCSA,2022-08-22,2022-08-12
630,ULTA,2022-09-15,2022-08-12
462,ORCL,2022-08-19,2022-08-12
10,ACLS,2022-08-16,2022-08-12
453,NXGN,2022-08-31,2022-08-12
70,AVYA,2022-08-01,2022-08-12
572,SPR,2022-08-22,2022-08-12
449,NVMI,2022-08-19,2022-08-12
111,CASS,2022-08-24,2022-08-12
587,SWI,2022-08-24,2022-08-12
21,AGYS,2022-08-22,2022-08-12
662,WIRE,2022-08-30,2022-08-11
659,WDC,2022-08-22,2022-08-11
433,NNDM,2022-08-19,2022-08-11
668,WMB,2022-08-31,2022-08-11
466,OXY,2022-09-02,2022-08-11
617,TWI,2022-08-30,2022-08-11
595,TCS,2022-08-22,2022-08-11
51,ARCH,2022-08-31,2022-08-10
254,FOX,2022-08-23,2022-08-10
673,XOM,2022-09-01,2022-08-10
38,AMR,2022-08-31,2022-08-10
221,EQT,2022-08-30,2022-08-10
134,CHTR,2022-08-22,2022-08-10
434,NNOX,2022-08-22,2022-08-10
385,MGA,2022-08-18,2022-08-10
255,FOXA,2022-08-23,2022-08-10
83,BFH,2022-08-24,2022-08-10
350,LBRDK,2022-08-22,2022-08-10
175,CVLT,2022-08-24,2022-08-09
339,KHC,2022-08-30,2022-08-09
4,ABC,2022-08-26,2022-08-09
75,AZO,2022-08-24,2022-08-08
144,CNDT,2022-08-19,2022-08-08
593,TBLA,2022-08-19,2022-08-08
155,CRGE,2022-09-02,2022-08-08
460,ONVO,2022-08-15,2022-08-08
423,NEM,2022-06-29,2022-08-08
86,BGNE,2022-08-17,2022-08-05
138,CLBT,2022-08-11,2022-08-05
379,MCK,2022-08-24,2022-08-05
632,UPLD,2022-09-01,2022-08-04
100,BMRN,2022-08-18,2022-08-04
343,KNBE,2022-08-26,2022-08-04
16,ADPT,2022-08-19,2022-08-04
215,ENLV,2022-08-31,2022-08-04
456,OKTA,2022-08-18,2022-08-03
306,IBM,2022-08-26,2022-08-03
22,AI,2022-08-19,2022-08-03
486,PING,2022-08-23,2022-08-03
222,ESLT,2022-08-15,2022-08-03
29,ALNY,2022-08-22,2022-08-03
477,PD,2022-08-17,2022-08-03
321,IOT,2022-08-19,2022-08-03
484,PG,2022-08-24,2022-08-03
512,QLYS,2022-08-30,2022-08-03
470,PATH,2022-08-17,2022-08-03
309,IDCC,2022-08-05,2022-08-02
273,GMDA,2022-08-29,2022-08-02
271,GLBE,2022-08-30,2022-08-02
126,CFLT,2022-08-18,2022-08-02
161,CRWD,2022-08-19,2022-08-02
558,SJM,2022-09-01,2022-08-01
234,EXFY,2022-08-19,2022-07-29
276,GOOG,2022-08-22,2022-07-29
277,GOOGL,2022-08-22,2022-07-29
435,NOC,2022-08-30,2022-07-29
388,MITK,2022-08-17,2022-07-29
186,DDOG,2022-08-19,2022-07-29
599,TEAM,2022-08-22,2022-07-29
336,K,2022-08-23,2022-07-29
151,CPB,2022-08-29,2022-07-29
315,INFA,2022-08-19,2022-07-29
380,MDB,2022-08-19,2022-07-29
288,HASI,2022-08-22,2022-07-28
123,CEG,2022-08-24,2022-07-28
360,LMT,2022-08-26,2022-07-28
169,CTLP,2022-08-19,2022-07-28
409,MSFT,2022-08-22,2022-07-27
665,WKME,2022-08-24,2022-07-27
626,U,2022-08-22,2022-07-27
605,TMUS,2022-08-19,2022-07-27
638,VEEV,2022-08-10,2022-07-27
108,BTRS,2022-08-19,2022-07-27
362,LNT,2022-08-24,2022-07-25
612,TSN,2022-08-08,2022-07-25
72,AY,2022-08-17,2022-07-25
18,AEE,2022-08-25,2022-07-22
226,ETR,2022-08-24,2022-07-22
428,NI,2022-08-24,2022-07-22
54,ARRY,2022-08-22,2022-07-22
87,BHP,2022-08-31,2022-07-21
536,RSG,2022-08-23,2022-07-21
573,SPSC,2022-08-19,2022-07-21
537,RSKD,2022-08-19,2022-07-21
240,FAST,2022-08-23,2022-07-21
393,MMC,2022-08-22,2022-07-21
328,ITRN,2022-08-26,2022-07-21
372,MANH,2022-08-22,2022-07-21
264,GD,2022-08-24,2022-07-21
459,ONEM,2022-08-09,2022-07-21
464,OSPN,2022-08-31,2022-07-21
165,CSIQ,2022-08-30,2022-07-20
303,HUBS,2022-08-19,2022-07-20
425,NEWR,2022-08-18,2022-07-20
552,SHLS,2022-08-22,2022-07-20
603,TEVA,2022-08-18,2022-07-20
347,KTOS,2022-08-19,2022-07-20
645,VMW,2022-08-23,2022-07-20
25,AJG,2022-08-23,2022-07-20
523,RGEN,2022-08-17,2022-07-20
284,GWRE,2022-08-19,2022-07-20
98,BLKB,2022-08-05,2022-07-20
496,PRGS,2022-08-26,2022-07-20
476,PCTY,2022-08-22,2022-07-20
248,FIVN,2022-08-17,2022-07-20
494,PPC,2022-08-02,2022-07-20
58,ATEN,2022-08-23,2022-07-20
262,FWONK,2022-08-23,2022-07-20
508,PXD,2022-09-06,2022-07-19
107,BSY,2022-08-17,2022-07-19
229,EVBG,2022-09-09,2022-07-19
133,CHRW,2022-08-26,2022-07-19
137,CIVI,2022-09-01,2022-07-19
429,NICE,2022-08-19,2022-07-19
69,AVPT,2022-08-15,2022-07-19
31,ALTR,2022-08-10,2022-07-19
39,AMSWA,2022-08-23,2022-07-19
62,ATVI,2022-08-15,2022-07-19
318,INTU,2022-08-19,2022-07-19
26,AKAM,2022-08-22,2022-07-19
286,HAL,2022-09-06,2022-07-19
472,PAYC,2022-08-22,2022-07-19
244,FFIV,2022-08-19,2022-07-19
11,ACN,2022-08-22,2022-07-19
565,SNPS,2022-08-18,2022-07-19
507,PUBM,2022-08-23,2022-07-19
15,ADP,2022-08-23,2022-07-19
220,EPAM,2022-08-23,2022-07-19
474,PAYX,2022-08-24,2022-07-19
465,OTEX,2022-08-08,2022-07-19
475,PCAR,2022-08-22,2022-07-19
285,GWW,2022-08-23,2022-07-19
655,VUZI,2022-08-19,2022-07-19
412,MTDR,2022-08-30,2022-07-19
352,LBTYK,2022-08-19,2022-07-18
414,MTRX,2022-09-01,2022-07-18
177,CVX,2022-08-31,2022-07-18
396,MNRL,2022-09-01,2022-07-18
351,LBTYA,2022-08-19,2022-07-18
112,CAT,2022-08-29,2022-07-18
644,VLO,2022-09-01,2022-07-18
299,HPQ,2022-08-23,2022-07-18
8,ACHR,2022-08-18,2022-07-18
455,ODFL,2022-08-17,2022-07-18
528,ROCC,2022-09-01,2022-07-18
201,DVN,2022-09-02,2022-07-15
236,EXPD,2022-08-23,2022-07-15
571,SPOT,2022-08-17,2022-07-15
480,PENN,2022-08-18,2022-07-15
172,CTVA,2022-08-29,2022-07-15
281,GRIN,2022-09-16,2022-07-15
391,MLI,2022-08-12,2022-07-15
17,ADSK,2022-08-19,2022-07-15
210,EE,2022-08-31,2022-07-15
580,SSYS,2022-08-05,2022-07-15
402,MPC,2022-09-01,2022-07-15
631,UNH,2022-08-04,2022-07-15
296,HON,2022-08-23,2022-07-15
56,ASML,2022-08-15,2022-07-14
637,VECO,2022-08-22,2022-07-14
156,CRK,2022-09-01,2022-07-14
14,ADM,2022-08-31,2022-07-13
341,KLAC,2022-08-10,2022-07-13
366,LRCX,2022-08-17,2022-07-13
33,AMD,2022-08-17,2022-07-13
85,BG,2022-08-31,2022-07-12
403,MPWR,2022-08-18,2022-07-12
685,ZIM,2022-08-19,2022-07-12
610,TSEM,2022-08-18,2022-07-11
367,LSCC,2022-08-11,2022-07-11
401,MOS,2022-08-31,2022-07-11
32,AMAT,2022-08-17,2022-07-08
399,MO,2022-08-31,2022-07-08
110,CAMT,2022-08-17,2022-07-08
426,NFE,2022-08-26,2022-07-08
378,MCHP,2022-08-19,2022-07-08
187,DE,2022-08-30,2022-07-08
80,BCC,2022-08-22,2022-07-08
0,AA,2022-08-31,2022-07-08
579,SST,2022-09-08,2022-07-08
614,TTD,2022-08-23,2022-07-07
634,USD,2022-08-17,2022-07-07
583,STX,2022-08-17,2022-07-07
503,PSTG,2022-08-22,2022-07-07
661,WEX,2022-08-09,2022-07-07
68,AVLR,2022-08-11,2022-07-07
66,AVGO,2022-08-19,2022-07-07
666,WLK,2022-08-30,2022-07-07
526,RMBS,2022-08-23,2022-07-07
13,ADI,2022-08-17,2022-07-07
439,NSIT,2022-08-24,2022-07-07
514,QSI,2022-08-19,2022-07-07
96,BLDE,2022-08-18,2022-07-07
125,CF,2022-08-31,2022-07-07
555,SILC,2022-08-19,2022-07-06
608,TRMB,2022-08-19,2022-07-06
223,ESMT,2022-08-19,2022-07-06
624,TXN,2022-08-17,2022-07-06
139,CLF,2022-08-19,2022-07-06
84,BFLY,2022-08-19,2022-07-06
23,AIR,2022-08-22,2022-07-06
249,FLT,2022-08-26,2022-07-06
446,NUE,2022-08-19,2022-07-06
510,PYPL,2022-08-19,2022-07-05
291,HEI,2022-08-22,2022-07-05
415,MTTR,2022-08-19,2022-07-05
12,ADBE,2022-08-19,2022-07-05
263,G,2022-08-09,2022-07-05
266,GENI,2022-08-23,2022-07-05
513,QRVO,2022-08-18,2022-07-05
166,CSL,2022-08-22,2022-07-05
559,SKLZ,2022-08-22,2022-07-05
28,ALLT,2022-08-16,2022-07-05
280,GRBK,2022-08-19,2022-07-01
330,JBHT,2022-08-22,2022-07-01
418,MYNA,2022-08-03,2022-06-30
469,PARA,2022-08-23,2022-06-30
648,VRNT,2022-08-29,2022-06-30
511,QCOM,2022-08-01,2022-06-29
214,EIX,2022-08-23,2022-06-29
674,XPER,2022-08-09,2022-06-28
567,SO,2022-08-24,2022-06-28
167,CSX,2022-08-22,2022-06-28
190,DIS,2022-08-23,2022-06-27
117,CDAY,2022-08-19,2022-06-27
667,WM,2022-08-23,2022-06-27
495,PRFT,2022-08-05,2022-06-27
358,LKQ,2022-08-22,2022-06-27
218,ENV,2022-08-22,2022-06-27
588,SWKS,2022-08-16,2022-06-27
452,NWSA,2022-08-19,2022-06-27
451,NWS,2022-08-22,2022-06-24
530,ROP,2022-08-18,2022-06-24
651,VRSN,2022-08-22,2022-06-24
289,HCKT,2022-08-23,2022-06-24
525,RJF,2022-08-23,2022-06-24
382,MDRX,2022-08-23,2022-06-24
119,CDNS,2022-08-18,2022-06-24
541,SABR,2022-08-22,2022-06-24
205,EBAY,2022-08-17,2022-06-24
625,TYL,2022-08-16,2022-06-24
327,IT,2022-08-23,2022-06-24
554,SI,2022-08-17,2022-06-24
105,BR,2022-08-22,2022-06-24
230,EVOP,2022-08-17,2022-06-24
153,CPRT,2022-08-11,2022-06-24
389,MKC,2022-08-23,2022-06-24
168,CTAS,2022-08-22,2022-06-24
71,AXON,2022-08-23,2022-06-24
316,INMD,2022-08-16,2022-06-24
269,GILT,2022-08-19,2022-06-23
238,EXR,2022-08-23,2022-06-23
2,AAPL,2022-08-22,2022-06-23
387,MGIC,2022-07-27,2022-06-23
20,AFRM,2022-08-19,2022-06-23
307,ICE,2022-08-23,2022-06-23
371,MAA,2022-08-22,2022-06-23
492,PODD,2022-08-19,2022-06-23
338,KDP,2022-08-22,2022-06-23
42,ANET,2022-08-22,2022-06-23
40,AMZN,2022-08-18,2022-06-23
135,CIEN,2022-08-23,2022-06-23
500,PSA,2022-08-23,2022-06-22
49,APPS,2022-08-22,2022-06-22
290,HCP,2022-08-19,2022-06-22
684,ZI,2022-08-22,2022-06-22
489,PLD,2022-08-22,2022-06-22
342,KMDA,2022-08-17,2022-06-22
394,MMS,2022-08-08,2022-06-21
185,DDD,2022-08-17,2022-06-21
300,HRL,2022-08-30,2022-06-21
650,VRSK,2022-08-19,2022-06-21
325,IS,2022-08-12,2022-06-21
424,NET,2022-08-22,2022-06-21
323,IRDM,2022-08-17,2022-06-21
410,MSTR,2022-08-18,2022-06-21
642,VIVO,2022-07-15,2022-06-17
