,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials | Aluminum | USA,,9240000000.0,963000000.0,13390000000.0,31.13,9.33,0.4,0.76,12200.0,Yes,Yes,2.1,10.38,7.39,,0.69,1.69,5.64,8.28,1.0,1.8,0.3,0.3,1.61,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,8.66,0.2,0.0,86.2,-1.11,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-14.43,182000000.0,173820000.0,4.5,1.31,58.22,39.56 - 98.09,-46.36,33.0,54.72,1.22,5970000.0,7252553.0,9.44,-0.62,-5.29,-36.56,10.76,-11.68,2.32,2.7,4.59 4.56,48.86,52.62,7.7
ACN,Accenture plc,Technology | Information Technology Services | Ireland,S&P 500,186840000000.0,6630000000.0,59590000000.0,33.8,10.43,3.88,1.34,624000.0,Yes,Yes,,28.18,24.14,2.22,3.14,8.6,27.85,37.28,1.3,1.3,0.0,0.0,-4.22,10.31,12.04,3.05,16.0,12.6,,7.3,7.7,21.8,16.1,Sep 22 e9e6O,-1.42,0.1,-3.78,77.5,-0.05,15.0,32.4,29.9,32.3,15.0,11.1,36.2,-9.78,632750000.0,599620000.0,0.68,2.01,353.64,261.77 - 417.37,-30.39,10.99,41.75,0.98,2040000.0,2000206.0,0.61,-8.19,-1.65,-6.13,-14.82,-29.91,1.22,6.22,2.34 1.98,287.96,290.55,0.9
ADBE,Adobe Inc.,Technology | Software - Infrastructure | USA,S&P 500,185960000000.0,4890000000.0,16690000000.0,29.63,11.25,,,25988.0,Yes,Yes,1.9,38.56,24.9,2.71,11.14,13.32,35.09,27.11,1.1,1.1,0.3,0.26,-2.37,10.24,15.86,3.45,-7.6,17.25,,34.0,21.9,14.4,7.3,Sep 15 Ae6C,-1.19,0.1,-3.28,84.2,-0.9,18.5,34.3,26.0,87.9,36.2,29.3,0.0,-13.81,472000000.0,463030000.0,1.21,2.1,461.43,338.00 - 699.54,-43.57,16.8,49.01,1.12,2670000.0,2989259.0,6.54,-9.95,-7.42,-10.06,-40.34,-30.38,1.14,11.86,3.12 2.61,383.63,394.78,2.91
ADI,"Analog Devices, Inc.",Technology | Semiconductors | USA,S&P 500,80400000000.0,1890000000.0,11110000000.0,70.87,2.92,3.04,1.97,24700.0,Yes,Yes,1.9,42.7,16.11,2.57,7.24,2.18,52.72,36.28,1.4,1.9,0.17,0.17,-5.08,3.61,9.57,2.59,5.6,1.42,,4.7,16.4,76.8,6.3,Aug 17 e9e6O,-4.41,0.1,-13.88,88.4,-0.81,3.7,5.1,3.4,58.6,18.6,17.0,79.7,-5.32,517010000.0,509600000.0,1.72,2.65,195.18,138.50 - 191.95,-19.68,11.32,41.17,0.79,3310000.0,2620295.0,2.32,-11.94,-4.6,2.4,-8.67,-12.28,1.16,4.43,2.59 2.56,152.13,154.18,1.35
ADM,Archer-Daniels-Midland Company,Consumer Defensive | Farm Products | USA,S&P 500,51260000000.0,3600000000.0,94360000000.0,43.1,1.62,1.6,1.75,41000.0,Yes,Yes,2.2,14.43,14.86,1.57,0.54,2.12,56.58,63.99,0.9,1.5,0.47,0.33,4.36,6.34,6.16,1.38,52.5,-9.66,,17.2,6.5,19.0,73.2,Jul 26 e9e6O,12.44,0.3,-7.96,80.9,-1.1,6.1,15.5,6.6,7.4,3.9,3.8,24.2,14.51,566000000.0,557810000.0,1.2,2.25,96.0,58.60 - 98.88,-7.49,56.11,65.34,1.24,2960000.0,3670013.0,4.44,9.41,6.39,8.49,53.32,35.33,0.77,2.14,3.15 2.35,90.29,91.47,1.31
ADP,"Automatic Data Processing, Inc.",Industrials | Staffing & Employment Services | USA,S&P 500,104690000000.0,2950000000.0,16500000000.0,7.76,3.46,4.16,1.7,60000.0,Yes,Yes,3.0,34.89,27.37,2.41,6.35,31.48,70.58,82.69,1.0,1.0,0.93,0.93,-2.87,7.0,8.93,1.8,15.4,11.38,,12.0,5.9,10.5,18.2,Jul 27 e9e6O,3.54,0.1,-33.44,81.1,-0.45,4.6,66.2,47.1,42.8,22.9,17.9,56.0,8.98,415800000.0,415040000.0,1.04,2.79,244.65,192.26 - 261.59,-6.61,27.07,49.21,1.35,1540000.0,2073674.0,-0.67,-3.24,13.26,16.65,20.25,-0.92,0.83,4.65,2.48 1.74,241.94,244.3,0.98
ADPT,Adaptive Biotechnologies Corporation,Healthcare | Biotechnology | USA,,1300000000.0,-232100000.0,159700000.0,3.64,2.62,,,858.0,Yes,Yes,2.2,,,,8.16,2.45,3.4,,3.8,3.9,0.0,0.0,-14.14,-1.64,-1.52,-0.37,-32.5,2.6,,,,13.5,-4.1,Aug 03 Ae6C,-10.59,2.4,-2.1,92.3,6.42,-25.9,-39.9,-34.6,65.6,,,,-35.53,142360000.0,140520000.0,4.63,4.14,13.17,5.95 - 39.79,-77.61,49.62,41.37,0.75,1570000.0,1179211.0,-0.22,-29.4,18.8,-25.81,-76.77,-68.25,,0.76,7.49 7.12,9.14,8.91,-2.52
ADSK,"Autodesk, Inc.",Technology | Software - Application | USA,S&P 500,46440000000.0,557800000.0,4740000000.0,3.41,6.95,,,12600.0,Yes,Yes,1.9,83.44,27.06,3.58,9.79,62.08,30.45,28.3,0.6,0.6,3.55,3.08,-1.66,2.54,7.82,1.7,-58.8,18.43,,23.4,16.6,16.7,64.2,Aug 24 Ae6C,4.31,0.2,-9.15,93.5,-0.19,6.6,62.9,15.8,90.4,16.7,11.8,0.0,-3.0,217000000.0,215110000.0,1.66,2.38,256.8,163.20 - 335.48,-36.9,29.71,52.41,0.73,1500000.0,1093500.0,4.82,-6.47,8.52,5.95,-26.42,-24.72,1.53,6.79,3.28 3.03,209.82,211.68,0.89
AEE,Ameren Corporation,Utilities | Utilities - Regulated Electric | USA,S&P 500,24950000000.0,1010000000.0,6960000000.0,38.26,0.03,2.36,2.47,9116.0,Yes,Yes,2.2,24.53,21.9,3.32,3.58,2.5,3564.34,17.24,0.5,0.7,1.48,1.31,0.65,3.9,4.37,1.73,9.7,6.99,,7.5,1.0,17.3,-0.8,Aug 04 Ae6C,4.23,0.4,-9.27,81.5,0.56,2.8,10.3,5.0,80.4,19.7,14.5,43.2,6.25,258200000.0,257320000.0,1.16,2.3,98.92,80.27 - 99.20,-3.62,19.11,56.88,1.11,1300000.0,1441261.0,1.86,1.77,6.3,9.21,8.8,7.41,0.37,1.66,2.01 1.58,94.82,95.61,0.83
AEP,"American Electric Power Company, Inc.",Utilities | Utilities - Regulated Electric | USA,S&P 500,54480000000.0,2570000000.0,17920000000.0,46.96,1.47,3.12,2.98,16688.0,Yes,Yes,2.2,20.63,19.82,3.25,3.04,2.23,71.0,13.28,0.7,0.8,1.56,1.37,1.67,5.08,5.28,1.54,14.6,5.91,,31.8,0.5,21.3,-11.8,Jul 27 e9e6O,5.79,0.1,-8.59,75.6,0.85,2.9,11.1,5.6,67.4,21.1,14.4,60.5,10.51,513600000.0,513590000.0,1.39,2.7,107.88,80.22 - 105.48,-0.73,30.53,60.47,0.76,2640000.0,1996663.0,2.28,3.33,6.56,9.08,15.83,17.69,0.35,1.96,2.24 1.80,103.98,104.71,0.7
AFRM,"Affirm Holdings, Inc.",Technology | Software - Infrastructure | USA,,7830000000.0,-707400000.0,1150000000.0,9.09,4.21,,,2552.0,Yes,Yes,2.7,,,,6.79,2.89,6.24,,,,1.53,1.53,-10.87,-2.53,-2.15,-0.82,9.8,23.5,-,,,40.9,-40.0,Aug 25 Ae6C,-3.56,2.2,139.53,82.7,4.48,-10.7,-28.2,-12.8,,-75.1,-61.4,,-44.18,288110000.0,215840000.0,17.22,2.59,34.89,13.64 - 176.65,-85.14,92.45,47.31,0.88,14370000.0,12575179.0,13.34,-28.63,23.94,-28.18,-71.49,-73.9,,2.57,7.81 8.24,23.7,26.25,10.76
AGYS,"Agilysys, Inc.",Technology | Software - Application | USA,,1250000000.0,5700000.0,171400000.0,4.12,3.76,,,1400.0,Yes,Yes,2.7,222.01,49.88,4440.18,7.31,12.07,13.21,63.96,2.0,2.1,0.0,0.0,-3.44,0.22,1.0,0.18,118.1,15.53,,18.7,5.0,22.7,69.2,Jul 26 Ae6C,-1.23,4.5,-0.53,,0.31,2.8,6.0,6.5,61.3,4.3,3.3,0.0,16.08,24600000.0,23890000.0,1.87,4.18,55.5,31.49 - 55.75,-10.8,57.92,47.47,0.29,106520.0,30992.0,-0.92,-3.88,18.69,19.0,-6.82,11.85,1.08,1.8,3.79 3.55,48.95,49.73,1.59
AI,"C3.ai, Inc.",Technology | Information Technology Services | USA,,1630000000.0,-226500000.0,265700000.0,9.16,8.37,,,704.0,Yes,Yes,3.1,,,,6.13,1.64,1.8,,7.7,7.7,0.0,0.0,-20.44,-2.14,-0.4,-0.16,-241.6,29.9,-,,,24.6,-83.4,Aug 31 Ae6C,-22.18,2.5,-0.6,47.3,5.02,-19.4,-22.5,-19.9,74.0,-87.6,-85.3,,-33.23,106840000.0,87260000.0,13.32,5.01,15.71,13.37 - 53.82,-72.09,12.34,31.31,0.91,2320000.0,2121606.0,3.44,-33.75,-22.74,-24.75,-70.34,-51.94,,1.12,4.47 5.16,14.58,15.02,3.02
AIR,AAR Corp.,Industrials | Aerospace & Defense | USA,,1500000000.0,77900000.0,1820000000.0,28.34,1.53,,,4500.0,Yes,Yes,2.0,19.86,12.28,1.45,0.83,1.52,28.08,25.94,1.3,2.9,0.1,0.1,-4.38,2.17,3.5,0.67,66.4,17.74,,7.6,2.7,8.8,59.0,Jul 21 e9e6O,-1.9,3.3,-23.56,,0.93,5.0,7.7,6.9,17.2,5.8,4.3,0.0,-0.99,36500000.0,33670000.0,6.47,8.18,52.67,30.90 - 52.83,-18.55,39.26,43.77,0.53,266630.0,140260.0,2.5,-7.72,-10.32,-5.07,30.91,10.25,1.51,1.21,2.58 2.42,41.89,43.03,2.72
AIZ,"Assurant, Inc.",Financial | Insurance - Specialty | USA,S&P 500,8770000000.0,481500000.0,10200000000.0,81.67,22.06,2.72,1.66,15600.0,Yes,Yes,1.8,19.46,11.54,1.11,0.86,2.0,7.42,,,,0.48,0.48,-0.33,8.41,14.19,3.16,27.7,13.06,,2.1,6.2,-1.4,-68.9,Aug 02 Ae6C,-2.02,0.6,-1.89,94.42,-0.7,3.6,23.3,9.5,,6.9,11.8,13.0,-2.91,54610000.0,52700000.0,2.3,2.77,198.0,144.18 - 194.12,-15.67,13.54,49.52,0.72,436120.0,314093.0,2.31,1.11,-8.42,-3.36,-3.62,5.03,0.55,3.68,2.18 1.84,164.42,163.7,-0.44
AJG,Arthur J. Gallagher & Co.,Financial | Insurance Brokers | USA,S&P 500,39880000000.0,1060000000.0,8590000000.0,41.91,2.47,2.04,1.08,39000.0,Yes,Yes,2.1,37.99,21.71,3.8,4.64,4.5,76.16,32.7,1.1,1.1,0.73,0.63,0.85,4.96,8.68,1.71,4.2,11.3,,14.5,7.6,5.7,43.5,Jul 28 Ae6C,6.51,0.5,-11.33,85.7,0.37,2.9,12.2,8.0,40.8,17.2,12.3,38.5,12.96,210200000.0,208410000.0,1.09,2.76,198.15,142.53 - 191.99,-1.86,32.2,60.86,0.7,821650.0,578920.0,3.76,1.62,20.04,21.53,29.6,11.05,0.67,3.17,2.08 1.62,187.09,188.42,0.71
AKAM,"Akamai Technologies, Inc.",Technology | Software - Infrastructure | USA,S&P 500,14900000000.0,578200000.0,3570000000.0,26.75,4.25,,,8700.0,Yes,Yes,2.3,26.08,16.02,2.45,4.17,3.43,21.57,13.78,1.9,1.9,0.55,0.53,-1.61,3.52,5.72,1.22,16.6,8.92,,16.6,8.1,5.9,-21.5,Aug 09 Ae6C,-1.29,0.4,-7.71,96.4,-1.89,7.1,13.1,11.1,63.0,21.0,16.2,0.0,-12.97,160040000.0,156260000.0,6.42,6.43,114.06,85.90 - 123.25,-25.61,6.74,47.04,0.62,1560000.0,969024.0,1.64,-4.48,-8.14,-16.29,-19.13,-21.66,0.66,2.14,2.26 2.27,90.22,91.69,1.63
ALGN,"Align Technology, Inc.",Healthcare | Medical Devices | USA,S&P 500,20650000000.0,619000000.0,3990000000.0,45.91,11.46,,,22540.0,Yes,Yes,2.1,33.71,25.18,0.78,5.18,5.73,22.96,53.15,1.1,1.3,0.0,0.0,0.21,7.8,10.45,2.24,-56.8,21.01,,33.0,29.6,-4.1,-42.7,Jul 27 Ae6C,-0.49,0.3,3.38,90.9,1.85,10.6,17.2,21.5,72.6,21.8,15.5,0.0,-34.1,78390000.0,73170000.0,3.12,2.5,345.18,225.86 - 737.45,-64.32,16.49,51.36,0.83,915520.0,757016.0,7.07,-8.58,0.21,-38.82,-63.78,-59.96,1.8,11.63,4.30 4.28,257.3,263.11,2.26
ALLT,Allot Ltd.,Technology | Communication Equipment | Israel,,168760000.0,-19500000.0,143800000.0,3.11,2.88,,,749.0,Yes,Yes,,,,,1.17,1.46,1.58,,2.6,2.8,0.35,0.35,-2.65,-0.53,-0.55,-0.31,-56.2,31.4,-,-11.6,10.0,-7.1,-52.9,Aug 16 e9e6O,-8.52,16.3,0.0,73.4,-11.04,-8.9,-15.9,-12.2,69.3,-12.5,-13.5,,-38.93,36830000.0,35000000.0,0.35,1.41,9.12,4.27 - 16.26,-72.02,6.56,44.37,0.72,86510.0,62696.0,2.02,-17.27,-15.74,-41.82,-70.36,-61.7,0.98,0.26,4.47 5.78,4.32,4.55,5.32
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare | Biotechnology | USA,,27550000000.0,-980700000.0,884200000.0,1.46,17.1,,,1665.0,Yes,Yes,2.2,,,,31.16,152.92,13.05,,3.6,3.8,3.85,3.85,2.79,-8.16,-4.31,-1.78,3.5,49.9,,-8.5,78.1,1.9,-42.6,Jul 28 e9e6O,21.76,0.1,-30.45,99.1,0.21,-28.3,-204.2,-56.1,83.4,-80.8,,,38.62,120900000.0,119210000.0,4.19,4.9,231.27,117.58 - 236.80,-5.71,89.89,61.6,0.7,1020000.0,712725.0,5.69,-3.76,65.39,39.06,17.76,31.66,0.55,11.49,5.50 3.76,226.3,223.27,-1.34
ALRM,"Alarm.com Holdings, Inc.",Technology | Software - Application | USA,,3560000000.0,42600000.0,805900000.0,11.24,12.8,,,1500.0,Yes,Yes,2.1,88.59,33.4,10.94,4.41,6.3,5.53,88.71,5.5,6.3,0.87,0.87,-0.06,0.8,2.12,0.5,-34.1,11.47,,36.6,23.5,12.7,-30.5,Aug 09 Ae6C,2.56,2.0,-5.45,93.6,0.1,3.5,7.3,6.4,57.8,6.2,5.3,0.0,2.65,49930000.0,47130000.0,4.62,11.15,87.71,54.99 - 90.69,-21.95,28.71,54.37,0.89,195360.0,174687.0,5.64,-6.7,13.65,7.1,-12.43,-16.54,1.19,2.02,3.29 2.59,70.72,70.78,0.08
ALTR,Altair Engineering Inc.,Technology | Software - Infrastructure | USA,,4190000000.0,-31800000.0,554500000.0,7.07,5.13,,,2800.0,Yes,Yes,2.2,,58.98,,7.55,7.31,10.07,220.44,3.0,3.0,0.55,0.55,-3.25,-0.42,0.88,0.01,19.5,20.0,-,-21.8,11.2,10.7,-135.9,Aug 04 Ae6C,-4.43,1.0,-3.14,98.59,1.63,-2.9,-5.3,0.5,77.4,2.9,-5.7,,-13.64,78950000.0,51290000.0,5.5,8.57,64.71,48.19 - 82.96,-37.72,7.21,44.61,0.39,328780.0,128967.0,4.72,-8.52,-6.29,-18.17,-30.17,-33.17,1.5,1.75,3.22 3.07,50.86,51.67,1.59
AMAT,"Applied Materials, Inc.",Technology | Semiconductor Equipment & Materials | USA,S&P 500,83550000000.0,6650000000.0,25160000000.0,13.97,4.1,1.04,1.08,27000.0,Yes,Yes,2.0,12.91,12.01,1.04,3.32,6.91,23.55,20.61,1.5,2.3,0.45,0.45,-3.74,7.47,8.04,2.01,63.4,4.44,,33.0,16.3,5.2,-1.1,Aug 18 Ae6C,-2.49,0.1,-2.81,79.5,-2.66,25.8,55.6,33.9,47.0,31.0,26.4,9.6,-20.71,864000000.0,857280000.0,1.26,1.46,136.07,82.67 - 167.06,-42.23,16.74,46.45,0.69,7370000.0,5088198.0,5.12,-8.13,-10.01,-22.77,-28.51,-38.67,1.52,3.83,3.11 3.40,93.79,96.51,2.9
AMD,"Advanced Micro Devices, Inc.",Technology | Semiconductors | USA,S&P 500,141540000000.0,3130000000.0,21580000000.0,34.1,3.62,,,15500.0,Yes,Yes,2.1,35.93,17.47,1.34,6.56,2.51,23.62,42.5,2.0,2.4,0.05,0.04,-6.37,2.38,4.89,1.05,24.7,11.92,,44.6,30.9,70.1,-52.5,Aug 02 Ae6C,-3.62,0.5,-3.02,68.4,-0.37,7.9,10.0,40.1,48.0,16.8,14.5,0.0,-20.79,1620000000.0,1610000000.0,2.21,0.43,123.89,71.60 - 164.46,-48.04,19.34,44.47,0.82,83590000.0,68855424.0,3.79,-13.73,-13.51,-19.74,-19.5,-40.62,1.98,4.0,3.75 3.89,82.78,85.45,3.23
AMGN,Amgen Inc.,Healthcare | Drug Manufacturers - General | USA,DJIA S&P500,134210000000.0,6580000000.0,26380000000.0,4.52,13.26,7.76,3.13,24200.0,Yes,Yes,2.6,20.98,13.21,2.61,5.09,54.8,18.68,31.59,1.2,1.5,15.1,14.76,0.82,11.8,18.75,4.44,-16.5,7.56,,0.1,2.5,1.0,204.4,Aug 04 Ae6C,0.46,0.2,-1.89,80.1,-1.11,10.8,144.1,17.1,75.8,35.5,24.9,62.5,4.82,535000000.0,533670000.0,3.11,5.72,253.12,198.64 - 258.45,-4.16,24.69,54.63,0.8,2900000.0,2317946.0,0.89,-1.75,2.46,9.14,14.89,10.1,0.56,3.89,1.64 1.53,245.45,247.69,0.91
