,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials | Aluminum | USA,-,8650000000.0,963000000.0,13390000000.0,31.13,9.33,0.4,0.81,12200.0,Yes,Yes,2.1,9.72,6.92,-,0.65,1.58,5.28,7.75,1.0,1.8,0.3,0.3,-5.61,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,1.66,0.2,0.0,86.2,-1.11,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-19.89,182000000.0,173820000.0,4.5,1.33,58.22,39.56 - 98.09,-49.79,24.48,45.41,0.67,5870000.0,3947643.0,-11.8,2.93,-20.35,-45.68,4.99,-17.34,2.32,2.67,5.04 4.58,48.08,49.25,2.43
ACN,Accenture plc,Technology | Information Technology Services | Ireland,S&P 500,182670000000.0,6630000000.0,59590000000.0,33.8,10.43,3.88,1.37,624000.0,Yes,Yes,-,27.56,23.6,2.17,3.07,8.4,27.23,36.45,1.3,1.3,0.0,0.0,-7.93,10.31,12.04,3.05,16.0,12.6,,7.3,7.7,21.8,16.1,Sep 22 e9e6O,-3.74,0.1,-3.78,77.5,-0.05,15.0,32.4,29.9,32.3,15.0,11.1,36.2,-12.26,632750000.0,599620000.0,0.68,2.04,353.64,261.77 - 417.37,-31.94,8.52,31.82,0.94,2010000.0,1889301.0,-4.72,-8.54,-6.85,-9.58,-16.7,-31.48,1.22,6.59,2.56 1.85,288.79,284.07,-1.63
ADBE,Adobe Inc.,Technology | Software - Infrastructure | USA,S&P 500,173410000000.0,4890000000.0,16690000000.0,29.63,11.25,-,,25988.0,Yes,Yes,1.9,35.95,23.22,2.53,10.39,12.42,32.72,25.28,1.1,1.1,0.3,0.26,-11.51,10.24,15.86,3.45,-7.6,17.25,,34.0,21.9,14.4,7.3,Sep 15 Ae6C,-7.91,0.1,-3.28,84.2,-0.9,18.5,34.3,26.0,87.9,36.2,29.3,0.0,-20.67,472000000.0,463030000.0,1.21,2.12,461.43,338.00 - 699.54,-47.37,8.92,29.37,0.93,2640000.0,2448879.0,-3.38,-14.5,-14.34,-18.58,-44.61,-35.08,1.14,11.97,2.87 2.51,370.53,368.14,-0.65
ADI,"Analog Devices, Inc.",Technology | Semiconductors | USA,S&P 500,77510000000.0,1890000000.0,11110000000.0,70.87,2.92,3.04,2.05,24700.0,Yes,Yes,1.9,41.16,15.53,2.48,6.98,2.1,50.82,34.98,1.4,1.9,0.17,0.17,-11.2,3.61,9.57,2.59,5.6,1.42,,4.7,16.4,76.8,6.3,Aug 17 e9e6O,-7.79,0.1,-13.88,88.4,-0.81,3.7,5.1,3.4,58.6,18.6,17.0,79.7,-9.16,517010000.0,509600000.0,1.72,2.66,195.18,138.50 - 191.95,-22.57,7.31,29.71,0.84,3300000.0,2785319.0,-6.33,-16.01,-10.05,-5.24,-8.6,-15.44,1.16,4.72,2.86 2.57,150.69,148.63,-1.37
ADM,Archer-Daniels-Midland Company,Consumer Defensive | Farm Products | USA,S&P 500,49090000000.0,3600000000.0,94360000000.0,43.1,1.62,1.6,1.83,41000.0,Yes,Yes,2.2,13.83,14.23,1.5,0.52,2.03,54.19,61.29,0.9,1.5,0.47,0.33,1.06,6.34,6.16,1.38,52.5,-9.66,,17.2,6.5,19.0,73.2,Jul 26 e9e6O,9.11,0.3,-7.96,80.9,-1.1,6.1,15.5,6.6,7.4,3.9,3.8,24.2,10.27,566000000.0,557810000.0,1.2,2.31,96.0,58.44 - 98.88,-11.4,49.91,57.45,0.92,2890000.0,2657003.0,-2.18,6.82,-0.34,5.81,45.46,29.62,0.77,2.03,2.69 2.09,87.58,87.61,0.03
ADP,"Automatic Data Processing, Inc.",Industrials | Staffing & Employment Services | USA,S&P 500,102200000000.0,2950000000.0,16500000000.0,7.76,3.46,4.16,1.74,60000.0,Yes,Yes,3.0,34.05,26.72,2.35,6.19,30.73,68.9,80.72,1.0,1.0,0.93,0.93,-5.89,7.0,8.93,1.8,15.4,11.38,,12.0,5.9,10.5,18.2,Jul 27 e9e6O,1.93,0.1,-4.01,81.1,-0.45,4.6,66.2,47.1,42.8,22.9,17.9,56.0,6.41,415800000.0,415040000.0,1.04,2.9,244.65,192.26 - 261.59,-8.83,24.04,39.67,1.64,1480000.0,2437611.0,-4.79,-2.26,8.07,14.4,15.47,-3.28,0.83,4.89,2.22 1.71,245.96,238.48,-3.04
ADPT,Adaptive Biotechnologies Corporation,Healthcare | Biotechnology | USA,-,1280000000.0,-232100000.0,159700000.0,3.64,2.62,-,,858.0,Yes,Yes,2.2,-,-,-,7.99,2.4,3.33,-,3.8,3.9,0.0,0.0,-20.52,-1.64,-1.52,-0.37,-32.5,2.6,,,,13.5,-4.1,Aug 03 Ae6C,-12.36,2.4,-2.73,92.3,6.42,-25.9,-39.9,-34.6,65.6,,,,-38.8,142360000.0,140520000.0,4.63,4.02,13.17,5.95 - 40.00,-78.2,46.43,37.13,0.38,1620000.0,614246.0,-16.79,-23.24,25.65,-28.17,-77.78,-68.92,-,0.78,8.90 7.54,8.93,8.72,-2.35
ADSK,"Autodesk, Inc.",Technology | Software - Application | USA,S&P 500,43590000000.0,557800000.0,4740000000.0,3.41,6.95,-,,12600.0,Yes,Yes,1.9,78.32,25.4,3.36,9.19,58.27,28.59,26.56,0.6,0.6,3.55,3.08,-9.25,2.54,7.82,1.7,-58.8,18.43,,23.4,16.6,16.7,64.2,Aug 24 Ae6C,-1.36,0.2,-9.07,93.5,-0.19,6.6,62.9,15.8,90.4,16.7,11.8,0.0,-9.98,217000000.0,215110000.0,1.66,2.42,256.8,163.20 - 335.48,-40.77,21.75,37.32,0.74,1470000.0,1093996.0,-4.37,-10.48,-4.65,-4.32,-30.88,-29.34,1.53,7.23,3.38 2.89,201.95,198.69,-1.61
AEE,Ameren Corporation,Utilities | Utilities - Regulated Electric | USA,S&P 500,24250000000.0,1010000000.0,6960000000.0,38.26,0.03,2.36,2.54,9116.0,Yes,Yes,2.2,23.85,21.29,3.22,3.48,2.43,3464.43,16.76,0.5,0.7,1.48,1.31,-1.92,3.9,4.37,1.73,9.7,6.99,,7.5,1.0,17.3,-0.8,Aug 04 Ae6C,1.83,0.4,-9.06,81.5,0.56,2.8,10.3,5.0,80.4,19.7,14.5,43.2,3.47,258200000.0,257320000.0,1.16,2.16,98.92,80.27 - 99.20,-6.32,15.78,47.01,0.63,1390000.0,872728.0,-1.96,1.46,-0.41,3.81,4.44,4.4,0.37,1.6,2.08 1.60,93.86,92.93,-0.99
AEP,"American Electric Power Company, Inc.",Utilities | Utilities - Regulated Electric | USA,S&P 500,52600000000.0,2570000000.0,17920000000.0,46.96,1.47,3.12,3.09,16688.0,Yes,Yes,2.2,19.92,19.13,3.14,2.94,2.15,68.55,12.83,0.7,0.8,1.56,1.37,-1.37,5.08,5.28,1.54,14.6,5.91,,31.8,0.5,21.3,-11.8,Jul 27 e9e6O,2.86,0.1,-9.42,75.6,0.85,2.9,11.1,5.6,67.4,21.1,14.4,60.5,7.14,513600000.0,513590000.0,1.39,2.78,107.88,80.22 - 105.48,-4.16,26.02,49.86,0.9,2570000.0,2315052.0,-0.72,1.14,-0.84,4.94,11.17,13.62,0.35,1.88,2.49 1.68,102.38,101.09,-1.26
AFRM,"Affirm Holdings, Inc.",Technology | Software - Infrastructure | USA,-,6690000000.0,-707400000.0,1150000000.0,9.09,4.21,-,,2552.0,Yes,Yes,2.7,-,-,-,5.81,2.47,5.33,-,-,-,1.53,1.53,-29.31,-2.53,-2.15,-0.82,9.8,23.5,-,,,40.9,-40.0,Aug 25 Ae6C,-17.32,2.2,139.53,82.7,4.48,-10.7,-28.2,-12.8,,-75.1,-61.4,,-54.61,288110000.0,215840000.0,17.22,2.5,34.89,13.64 - 176.65,-87.29,64.59,34.92,0.69,14870000.0,10190552.0,-8.63,-31.03,-10.56,-37.33,-77.32,-77.68,-,2.73,7.36 8.57,23.16,22.45,-3.07
AGYS,"Agilysys, Inc.",Technology | Software - Application | USA,-,1260000000.0,5700000.0,171400000.0,4.12,3.76,-,,1400.0,Yes,Yes,2.7,222.5,49.99,4450.0,7.33,12.1,13.24,64.11,2.0,2.1,0.0,0.0,-3.88,0.22,1.0,0.18,118.1,15.53,,18.7,5.0,22.7,69.2,Jul 26 Ae6C,-0.1,4.5,-0.53,,0.31,2.8,6.0,6.5,61.3,4.3,3.3,0.0,16.52,24600000.0,23890000.0,1.87,4.17,55.5,31.49 - 58.49,-14.78,58.27,45.79,0.55,106970.0,58582.0,-1.75,-1.27,20.27,22.04,-14.25,12.1,1.08,2.1,3.74 3.65,50.19,49.84,-0.7
AI,"C3.ai, Inc.",Technology | Information Technology Services | USA,-,1570000000.0,-226500000.0,265700000.0,9.16,8.37,-,,704.0,Yes,Yes,3.1,-,-,-,5.92,1.58,1.73,-,7.7,7.7,0.0,0.0,-28.71,-2.14,-0.4,-0.16,-241.6,29.9,-,,,24.6,-83.4,Aug 31 Ae6C,-26.16,2.5,-0.6,47.3,5.02,-19.4,-22.5,-19.9,74.0,-87.6,-85.3,,-37.14,106840000.0,87260000.0,13.32,4.05,15.71,13.37 - 53.82,-73.04,8.53,25.35,1.57,2870000.0,4511616.0,-22.9,-30.44,-26.86,-27.63,-69.56,-53.57,-,1.25,6.72 5.50,14.52,14.51,-0.07
AIR,AAR Corp.,Industrials | Aerospace & Defense | USA,-,1490000000.0,77900000.0,1820000000.0,28.34,1.53,-,,4500.0,Yes,Yes,2.0,19.64,12.15,1.44,0.82,1.5,27.78,25.67,1.3,2.9,0.1,0.1,-6.77,2.17,3.5,0.67,66.4,17.74,,7.6,2.7,8.8,59.0,Jul 21 e9e6O,-2.75,3.3,-23.56,,0.93,5.0,7.7,6.9,17.2,5.8,4.3,0.0,-1.81,36500000.0,33670000.0,6.47,7.58,52.67,30.90 - 52.83,-19.42,37.77,38.33,0.77,287590.0,221611.0,-5.02,-5.5,-12.66,-2.83,25.32,9.07,1.51,1.25,2.85 2.47,41.98,42.57,1.41
AIZ,"Assurant, Inc.",Financial | Insurance - Specialty | USA,S&P 500,8510000000.0,481500000.0,10200000000.0,81.67,22.06,2.72,1.71,15600.0,Yes,Yes,1.8,18.89,11.2,1.08,0.83,1.95,7.2,-,-,-,0.48,0.48,-2.94,8.41,14.19,3.16,27.7,13.06,,2.1,6.2,-1.4,-68.9,Aug 02 Ae6C,-5.39,0.6,-1.89,94.42,-0.7,3.6,23.3,9.5,,6.9,11.8,13.0,-5.75,54610000.0,52700000.0,2.3,2.75,198.0,144.18 - 194.12,-18.14,10.21,39.16,0.5,439620.0,221270.0,-1.64,1.7,-11.91,-6.19,-6.84,1.95,0.55,3.73,2.09 1.84,160.0,158.9,-0.69
AJG,Arthur J. Gallagher & Co.,Financial | Insurance Brokers | USA,S&P 500,38200000000.0,1060000000.0,8590000000.0,41.91,2.47,2.04,1.13,39000.0,Yes,Yes,2.1,36.39,20.79,3.64,4.45,4.31,72.95,31.32,1.1,1.1,0.73,0.63,-3.17,4.96,8.68,1.71,4.2,11.3,,14.5,7.6,5.7,43.5,Jul 28 Ae6C,2.96,0.5,-11.33,85.7,0.37,2.9,12.2,8.0,40.8,17.2,12.3,38.5,8.45,210200000.0,208410000.0,1.09,2.8,198.15,142.53 - 191.99,-6.0,26.62,46.26,0.84,810290.0,677519.0,-3.85,2.26,11.26,12.89,23.76,6.37,0.67,3.45,1.86 1.56,181.6,180.47,-0.62
AKAM,"Akamai Technologies, Inc.",Technology | Software - Infrastructure | USA,S&P 500,14340000000.0,578200000.0,3570000000.0,26.75,4.25,-,,8700.0,Yes,Yes,2.3,25.1,15.42,2.35,4.01,3.3,20.76,13.27,1.9,1.9,0.55,0.53,-6.61,3.52,5.72,1.22,16.6,8.92,,16.6,8.1,5.9,-21.5,Aug 09 Ae6C,-5.3,0.4,-12.94,96.4,-1.89,7.1,13.1,11.1,63.0,21.0,16.2,0.0,-16.56,160040000.0,156260000.0,6.42,6.53,114.06,85.90 - 123.25,-28.39,2.75,32.9,0.72,1540000.0,1110321.0,-4.11,-8.26,-12.48,-21.58,-21.85,-24.59,0.66,2.22,2.67 2.44,90.21,88.26,-2.16
ALGN,"Align Technology, Inc.",Healthcare | Medical Devices | USA,S&P 500,19190000000.0,619000000.0,3990000000.0,45.91,11.46,-,,22540.0,Yes,Yes,2.1,31.33,23.4,0.72,4.81,5.33,21.34,49.39,1.1,1.3,0.0,0.0,-9.59,7.8,10.45,2.24,-56.8,21.01,,33.0,29.6,-4.1,-42.7,Jul 27 Ae6C,-7.6,0.3,3.38,90.9,1.85,10.6,17.2,21.5,72.6,21.8,15.5,0.0,-40.08,78390000.0,73170000.0,3.12,2.47,345.18,225.86 - 737.45,-66.84,8.26,38.9,0.65,925110.0,598288.0,-3.15,-16.76,-10.63,-47.36,-66.46,-62.79,1.8,12.13,4.18 4.24,245.74,244.51,-0.5
ALLT,Allot Ltd.,Technology | Communication Equipment | Israel,-,163200000.0,-19500000.0,143800000.0,3.11,2.88,-,,749.0,Yes,Yes,-,-,-,-,1.13,1.41,1.53,-,2.6,2.8,0.35,0.35,-10.25,-0.53,-0.55,-0.31,-56.2,31.4,-,-11.6,10.0,-7.1,-52.9,Aug 16 e9e6O,-12.67,16.3,0.0,73.4,-11.04,-8.9,-15.9,-12.2,69.3,-12.5,-13.5,,-42.12,36830000.0,35000000.0,0.35,1.35,9.12,4.40 - 16.36,-73.11,0.0,36.98,0.35,90080.0,31905.0,-4.56,-20.15,-18.37,-42.48,-72.12,-62.96,0.98,0.27,5.00 6.25,4.46,4.4,-1.35
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare | Biotechnology | USA,-,25350000000.0,-980700000.0,884200000.0,1.46,17.1,-,,1665.0,Yes,Yes,2.2,-,-,-,28.68,140.72,12.01,-,3.6,3.8,3.85,3.85,-6.77,-8.16,-4.31,-1.78,3.5,49.9,,-8.5,78.1,1.9,-42.6,Jul 28 e9e6O,15.3,0.1,-30.45,99.1,0.21,-28.3,-204.2,-56.1,83.4,-80.8,,,28.1,120900000.0,119210000.0,4.19,5.04,231.27,117.58 - 236.80,-13.24,74.73,51.97,0.65,990930.0,642652.0,-2.6,-8.3,56.21,24.94,2.63,21.15,0.55,10.17,3.23 3.69,211.25,205.45,-2.75
ALRM,"Alarm.com Holdings, Inc.",Technology | Software - Application | USA,-,3330000000.0,42600000.0,805900000.0,11.24,12.8,-,,1500.0,Yes,Yes,2.1,82.99,31.29,10.25,4.14,5.9,5.18,83.11,5.5,6.3,0.87,0.87,-7.58,0.8,2.12,0.5,-34.1,11.47,,36.6,23.5,12.7,-30.5,Aug 09 Ae6C,-3.23,2.0,-5.45,93.6,0.1,3.5,7.3,6.4,57.8,6.2,5.3,0.0,-4.25,49930000.0,47130000.0,4.62,11.36,87.71,54.99 - 90.69,-26.88,20.59,36.92,0.77,191720.0,146808.0,-1.68,-9.0,1.83,1.34,-22.25,-21.81,1.19,2.0,3.05 2.65,67.0,66.31,-1.03
ALTR,Altair Engineering Inc.,Technology | Software - Infrastructure | USA,-,3940000000.0,-31800000.0,554500000.0,7.07,5.13,-,,2800.0,Yes,Yes,2.2,-,55.55,-,7.11,6.88,9.48,207.6,3.0,3.0,0.55,0.55,-11.24,-0.42,0.88,0.01,19.5,20.0,-,-21.8,11.2,10.7,-135.9,Aug 04 Ae6C,-10.45,1.0,-3.14,98.59,1.63,-2.9,-5.3,0.5,77.4,2.9,-5.7,,-19.45,78950000.0,51290000.0,5.5,8.63,64.71,48.19 - 82.96,-41.35,0.96,30.88,0.97,326420.0,315221.0,-9.44,-20.07,-11.53,-25.24,-35.41,-37.07,1.5,1.84,3.86 3.12,49.34,48.66,-1.38
AMAT,"Applied Materials, Inc.",Technology | Semiconductor Equipment & Materials | USA,S&P 500,78980000000.0,6650000000.0,25160000000.0,13.97,4.1,1.04,1.14,27000.0,Yes,Yes,2.0,12.21,11.35,0.99,3.14,6.53,22.26,19.48,1.5,2.3,0.45,0.45,-11.43,7.47,8.04,2.01,63.4,4.44,,33.0,16.3,5.2,-1.1,Aug 18 Ae6C,-8.11,0.1,-2.81,79.5,-2.66,25.8,55.6,33.9,47.0,31.0,26.4,9.6,-25.82,864000000.0,857280000.0,1.26,1.48,136.07,82.67 - 167.06,-45.38,10.37,35.09,0.93,7280000.0,6791105.0,-7.65,-17.85,-20.63,-27.44,-32.14,-42.02,1.52,4.04,3.36 3.69,91.81,91.24,-0.62
AMD,"Advanced Micro Devices, Inc.",Technology | Semiconductors | USA,S&P 500,132910000000.0,3130000000.0,21580000000.0,34.1,3.62,-,,15500.0,Yes,Yes,2.1,33.74,16.4,1.26,6.16,2.35,22.18,39.91,2.0,2.4,0.05,0.04,-15.57,2.38,4.89,1.05,24.7,11.92,,44.6,30.9,70.1,-52.5,Aug 02 Ae6C,-9.8,0.5,-3.02,68.4,-0.37,7.9,10.0,40.1,48.0,16.8,14.5,0.0,-26.62,1620000000.0,1610000000.0,2.21,0.42,123.89,71.60 - 164.46,-51.21,12.07,32.76,0.99,85330000.0,84837905.0,-12.0,-22.78,-24.52,-25.98,-26.52,-44.24,1.98,4.3,4.55 3.96,82.33,80.24,-2.54
AMGN,Amgen Inc.,Healthcare | Drug Manufacturers - General | USA,DJIA S&P500,131330000000.0,6580000000.0,26380000000.0,4.52,13.26,7.76,3.2,24200.0,Yes,Yes,2.6,20.53,12.93,2.56,4.98,53.62,18.28,30.91,1.2,1.5,15.1,14.76,-1.73,11.8,18.75,4.44,-16.5,7.56,,0.1,2.5,1.0,204.4,Aug 04 Ae6C,-1.71,0.2,-1.89,80.1,-1.11,10.8,144.1,17.1,75.8,35.5,24.9,62.5,2.9,535000000.0,533670000.0,3.11,5.69,253.12,198.64 - 258.45,-6.22,22.01,44.54,0.79,2920000.0,2316563.0,0.71,-1.87,-2.45,4.06,7.26,7.73,0.56,4.13,1.71 1.56,245.5,242.37,-1.27
